Term	Translation_ENG_SHL	Translation_LSJ	Category_SHL	Category_HISCO_major	Category_HISCO_minor	Notes
ἀγαλματοποιός	Statue maker		Stonework	1	16	
ἀγγειουργός	Jar maker		Ceramics	8	89	
ἀγκιστροπώλης	Seller of fish hooks		Tools	4	45	
αἴπολος	Goatherd		Agriculture, Animal Husbandry	6	61	
ἀκέστρια	Seamstress		Textiles	7	79	
ἀλεκτρυοπώλης	Poulterer	No Translation	Agriculture, Animal Husbandry	6	62	
ἁλιεύς	Fisherman		Seafaring/Maritime	9	98	
ἀλλαντοπώλης	Sausage Seller		Food Preparation and Retail	4	45	
ἁλουργοπώλης	Dealer in purple dye		Textiles	7	75	
ἁμαξουργός	Cartwright		Woodwork	7	73	
ἀμόργινος	Amorgan-technique linen worker		Textiles	7	75	
ἀμπελουργός	Vine Dresser	Vine-Dressing	Agriculture, Animal Husbandry	6	61	
ἀμφορεαφόρος	Amphora-bearer		Transport	9	98	
ἀνδραποδοκάπηλος	Slave dealer		Miscellaneous Retail	4	49	
ἀνδραποδώνης	Slave dealer		Miscellaneous Retail	4	49	
ἀνδριαντοποιός	Statue maker		Stonework	1	16	
ἀνθρακεύς	Charcoal maker		Fuel and Raw Materials	7	71	
ἀνθρακοπώλης	Charcoal dealer		Fuel and Raw Materials	7	71	
ἀργυρογνώμων	Assayer of silver		Metalwork	7	72	
ἀργυροκοπεῖον	Silversmith (shop)		Metalwork	7	72	
ἀργυροκόπος	Coin minter		Metalwork	7	72	
ἁρματοπηγός	Chariot maker		Woodwork	7	73	
ἀρτοκόπος	Baker		Food Preparation and Retail	5	53	
ἀρτοποιός	Baker		Food Preparation and Retail	5	53	
ἀρτοπώλης	Bread Seller	Baker	Food Preparation and Retail	5	51	
ἀρτόπωλις	Bread Seller	Baker	Food Preparation and Retail	5	51	
ἀρχιτέκτων	Architect		Construction	0	2	
ἀσκοποιός	Wineskin maker/carrier/seller		Leatherwork and Footwear	8	80	
ἀσκοπώλης	Wineskin maker/carrier/seller		Leatherwork and Footwear	8	80	
ἀσκοφόρος	Wineskin maker/carrier/seller		Leatherwork and Footwear	8	80	
ἀσπιδοπηγός	Shield maker		Armaments	7	72	
αὐλοποιός	Aulos maker		Musical Instruments	8	81	
αὐλοτρύπης	Aulos maker		Musical Instruments	8	81	
βάπτρια	Dyer		Textiles	7	75	
βαφεύς	Dyer		Textiles	7	75	
βελονοπώλης	Needle seller		Miscellaneous Retail	4	45	
βελονόπωλις	Needle seller	No Translation	Miscellaneous Retail	4	45	
βιβλιαγράφος	scrivener		Writing and the Book Trade	3	30	
βιβλιοπώλης	Bookseller		Writing and the Book Trade	4	45	
βουκάπηλος	Cattle Dealer		Agriculture, Animal Husbandry	6	62	
βούκολος	Cowherd		Agriculture, Animal Husbandry	6	61	
βουφορβός	Cowherd	Herd of Oxen	Agriculture, Animal Husbandry	6	61	
βυρσοδέψης	Tanner		Leatherwork and Footwear	7	76	
βυρσοπώλης	Leather seller		Leatherwork and Footwear	4	45	
γελγοπώλης	Garlic Seller		Food Preparation and Retail	4	45	
γεωμέτρης	Surveyor		Construction	0	3	
γεωργός	Farmer	Husbandman	Agriculture, Animal Husbandry	6	61	
γναφαλλουφάντης	Flock weaver		Textiles	7	75	
γναφεύς	Fuller		Textiles	7	75	
γραμματικός	Grammarian		Literature and Scholarship	1	13	
γραμματιστής	Elementary school teacher		Education and Training	1	13	
γραφεύς	Scrivener/copyist		Writing and the Book Trade	3	30	
δαιδοσχίστης	Pine torch cutter		Fuel and Raw Materials	7	71	
δακτυλιογύφος	Gem engraver		Jewellery	8	88	
δακτυλιουργός	Ring maker		Jewellery	8	88	
δαφνοπώλης	Laurel seller	Bay-Seller	Miscellaneous Retail	4	45	
δειπνοποιός	Caterer		Food Preparation and Retail	5	51	
διδάσκαλος	Teacher		Education and Training	1	13	
δικτυοπλόκος	Net maker		Cordage and Basketry	7	71	
διφθεροπώλης	Leather seller		Leatherwork and Footwear	4	45	
δοιδυκοποιός	Pestle maker		Woodwork	7	73	
δορυξός	Spear maker		Armaments	7	72	
δραπεταγωγός	runaway catcher		Miscellaneous Retail			
δρεπανουργός	Sickle maker		Tools	8	83	
ἐγκριδοπώλης	Honey Cake Seller		Food Preparation and Retail	5	51	
εἰροπλόκος	Wool weaver or plaiter		Textiles	7	76	
ἐλαιοκόμος	Olive Picker/Tender	Olive Rearer	Agriculture, Animal Husbandry	6	61	
ἐλαιολόγος	Olive Picker/Tender	Olive-Gatherer	Agriculture, Animal Husbandry	6	61	
ἔμπορος	Maritime trader		Seafaring/Maritime	4	41	
ἐπίγραμμα	Epigrammatist		Drama and Entertainment	1	17	
ἔριθος	Woolworker		Textiles	7	76	
ἐριοπώλης	Wool seller		Textiles	4	45	
ἑρμογλύφευς	Herm carver		Woodwork	7	73	
ζευγότροφος	Teamster		Agriculture, Animal Husbandry	6	61	
ζυγοποιός	Yoke maker		Woodwork	7	73	
