Term,gen_sg,Term2,Vocab_nom_sg,gender,Source,HISCO_codes,Harris_Category,Subcategory,Translation_eng
abetarius,i,,,male,Petrikovits 1981a,81120,Building,Wood worker,"a joiner, wood worker"
abietarius,i,,,male,Petrikovits 1981a,81120,Building,Wood worker,"a joiner, wood worker"
acceptor,oris,,acceptor,male,Waltzing - Rome,33990,Finance,,"collector, gold quality checker"
accomodator,oris,,,male,Petrikovits 1981a,99910,Unclassified,,"uncertain, craftsman"
aceptor,oris,,,male,Petrikovits 1981a,33990,Finance,,"collector, gold quality checker"
aciarius,i,,aciarius,male,EDH/EDCS,75440,Clothing,,"thread maker, textile worker"
aciscularius,i,,,male,Petrikovits 1981a,95410,Building,,"craftsman, working with small axe"
acuarius,i,,,male,Petrikovits 1981a,83990,Metal-Working,,manufacturer or seller of needles
acuclarius,i,,,male,Petrikovits 1981a,83990,Metal-Working,,manufacturer or seller of needles
acucularius,i,,,male,Petrikovits 1981b,83990,Metal-Working,,manufacturer or seller of a small pin for a head-dress
acutarius,i,,,male,Petrikovits 1981a,83990,Metal-Working,,manufacturer or seller of a pointy objects
acutiator,oris,,,male,Petrikovits 1981a,77120,Food-Production,Food production,"grindworker, grindmaster"
adplumbator,oris,,,male,Petrikovits 1981a,72890,Metal-Working,,"lead worker, solder"
adulterator,oris,,,male,Petrikovits 1981a,99990,Finance,,coin counterfeiter
aedifex,icis,,,male,Petrikovits 1981a,95910,Building,,builder
aedificator,oris,,,male,Petrikovits 1981a,2120,Building,,"builder, architect"
aeneator,oris,,aeneator,male,Waltzing - Rome,17140,Performing Arts,,"musician, one who blows a horn in war
"
aequator monetae,oris,,aequator,male,Petrikovits 1981a,33990,Finance,,"one who, in the coining of money, examines the equality of its weight, an assizer"
aerarius,i,,aerarius,male,Waltzing - Rome,83110,Metal-Working,,metal worker
agricola,ae,,agricola,male,Petra's addition,61110,Food-Production,Food production,"a husbandman, agriculturist, ploughman, farmer, peasant"
agrimensor,oris,,,male,Petrikovits 1981a,3020,Miscellaneous Services,,a landsurveyor
agrimesor,oris,,,male,Petrikovits 1981a,3020,Miscellaneous Services,,a landsurveyor
albarius,i,,,male,Petrikovits 1981a,95530,Building,,"worker in stucco, a plasterer"
alicarius,i,,,male,Petrikovits 1981a,77120,Food-Production,Food production,one who grinds spelt
allecarius,i,,,male,EDH/EDCS,64130,Food-Production,Food production,salt-fish maker and seller
aluminarius,i,,,male,Petrikovits 1981a,7115,Fuel / Raw material,,worker or seller or alum (mineral)
ampullarius,i,,,male,Petrikovits 1981a,89190,Household Goods,,manufacturer of ampullae (small vessels from glass and leather)
anabolicarius,i,,anabolicarius,male,Waltzing - Rome,98130,Transport,Maritime/water transport,one day sailor
anaglitarius,i,,,male,Petrikovits 1981b,16150,Plastic Arts,,"relief maker, carver"
