Term;gen_sg;Term2;Vocab_nom_sg;gender;Source;HISCO_majorgroup;HISCO_minorgroup;Harris_Category;Subcategory;Translation_eng
abetarius;i;;;male;Petrikovits 1981a;8;81;Building;Wood worker;a joiner, wood worker
abietarius;i;;;male;Petrikovits 1981a;8;81;Building;Wood worker;a joiner, wood worker
acceptor;oris;;acceptor;male;Waltzing - Rome;3;31;Finance;;collector, gold quality checker
accomodator;oris;;;male;Petrikovits 1981a;9;99;Unclassified;;uncertain, craftsman
aceptor;oris;;;male;Petrikovits 1981a;3;31;Finance;;collector, gold quality checker
aciarius;i;;aciarius;male;EDH/EDCS;7;75;Clothing;;thread maker, textile worker
aciscularius;i;;;male;Petrikovits 1981a;9;95;Building;;craftsman, working with small axe
acuarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;manufacturer or seller of needles
acuclarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;manufacturer or seller of needles
acucularius;i;;;male;Petrikovits 1981b;8;83;Metal-Working;;manufacturer or seller of a small pin for a head-dress
acutarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;manufacturer or seller of a pointy objects
acutiator;oris;;;male;Petrikovits 1981a;6;61;Food-Production;;grindworker, grindmaster
adplumbator;oris;;;male;Petrikovits 1981a;7;72;Metal-Working;;lead worker, solder
adulterator;oris;;;male;Petrikovits 1981a;3;39;Finance;;coin counterfeiter
aedifex;icis;;;male;Petrikovits 1981a;0;2;Building;;builder
aedificator;oris;;;male;Petrikovits 1981a;0;2;Building;;builder, architect
aeneator;oris;;aeneator;male;Waltzing - Rome;1;17;Performing Arts;;"musician, one who blows a horn in war
"
aequator monetae;oris;;aequator;male;Petrikovits 1981a;3;31;Finance;;one who, in the coining of money, examines the equality of its weight, an assizer
aerarius;i;;aerarius;male;Waltzing - Rome;8;83;Metal-Working;;metal worker
agricola;ae;;agricola;male;Petra's addition;6;62;Food-Production;;a husbandman, agriculturist, ploughman, farmer, peasant
agrimensor;oris;;;male;Petrikovits 1981a;0;2;Miscellaneous Services;;a landsurveyor
agrimesor;oris;;;male;Petrikovits 1981a;0;2;Miscellaneous Services;;a landsurveyor
albarius;i;;;male;Petrikovits 1981a;9;95;Building;;worker in stucco, a plasterer
alicarius;i;;;male;Petrikovits 1981a;6;61;Food-Production;;one who grinds spelt
allecarius;i;;;male;EDH/EDCS;6;64;Food-Production;;salt-fish maker and seller
aluminarius;i;;;male;Petrikovits 1981a;7;71;Fuel / Raw material;;worker or seller or alum (mineral)
ampullarius;i;;;male;Petrikovits 1981a;8;89;Household Goods;;manufacturer of ampullae (small vessels from glass and leather)
anabolicarius;i;;anabolicarius;male;Waltzing - Rome;9;98;Transport;Maritime/water transport;one day sailor
anaglitarius;i;;;male;Petrikovits 1981b;1;16;Plastic Arts;;relief maker, carver
anaglypharius;i;;;male;Petrikovits 1981b;1;16;Plastic Arts;;relief maker, carver
anaglyptarius;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;relief maker, carver
anellarius;i;;;male;Petrikovits 1981b;8;88;Metal-Working;;ring maker
annellarius;i;;;male;Petrikovits 1981a;8;88;Metal-Working;;ring maker
annonarius;i;;annonarius;male;Waltzing - provinces;3;30;Managerial;;of or pertaining to provisions
anularius;i;;anularius;male;Waltzing - Rome;8;88;Metal-Working;;maker of rings
apothecarius;i;;apothecarius;male;Waltzing - Rome;4;43;Retail;;a warehouseman
