Main_term;To_be_merged;HISCO_majorgroup;HISCO_minorgroup;Harris_Category;Subcategory;Translation_eng;
abetarius;abietarius;8;81;Building;Wood worker;a joiner, wood worker;
acceptor;aceptor;3;31;Finance;;collector, gold quality checker;
acuarius;acuclarius;8;83;Metal-Working;;manufacturer or seller of needles;
adplumbator;applumbator;7;72;Metal-Working;;lead worker, solder;lead worker, solder
aedifex;aedificator;0;2;Building;;builder, architect;
agrimensor;agrimesor;0;2;Miscellaneous Services;;a landsurveyor;
anaglyptarius;anaglypharius, anaglitarius;1;16;Plastic Arts;;relief maker, carver;
anellarius;annellarius, anularius;8;88;Metal-Working;;ring maker;
architectus;architecton;0;2;Building;;a masterbuilder, architect;
arcuarius;arcarius;3;31;Finance;;treasurer, a controller of public revenues;
armamentarius;armamintarius;5;58;Miscellaneous Services;Military;an arsenal provider, armory keeper;
armilarius;armillarius;8;88;Metal-Working;;bracelet maker, armilla - bracelet;
artifex;artefex;1;16;Plastic Arts;;One that is master in the liberal arts,an artist, artificer;One that is master in the liberal arts,an artist, artificer
aurifex;aurufex, aurificus;8;88;Metal-Working;;goldworker, goldsmith;
ballistrarius;ballistarius;0;2;Miscellaneous Services;Military;manufacturer of ballistae, an engine for hurling;
barbaricarius;barbaricas;7;75;Clothing;;textile worker;
baxearius;baxiarius;8;80;Clothing;Shoe maker;sandal-maker;
braccarius;bracarius;7;79;Clothing;;manufacturer of trousers;
bractearius;bracteator, brattearius, brattiarius;8;88;Metal-Working;;goldsheet maker, worker;
bucaeda;bucida;5;53;Food-Production;;beef butcher;
caementarius;cementarius;9;95;Building;Stone worker;mason;
caesor;cesor;9;95;Building;Stone worker;stone mason;
calcariensis;calcarensis;7;74;Building;Stone worker;a limeburner;
calcarius;calcearius;7;71;Building;Stone worker;limestone quarry worker;
calceator;calceolarius, calciamentarius, calciator;8;80;Clothing;Shoe maker;a shoemaker;
calegarius;caligarius;8;80;Clothing;Shoe maker;a shoemaker;
camararius;camarius;9;95;Building;;vault building worker;
capidarius;cavidarius, cabidarius;8;83;Household Goods;;uncertain, cup maker;
carbonarius;carbonarus;7;71;Fuel / Raw material;;coal handler, worker, miner;
carpentarius;carrocarpentarius;9;95;Transport;Land transport;a wheelwright;
caudicarius;codicarius;9;98;Transport;Maritime/water transport;those who sail on such ships (esp. those who brought the corn from Ostia to Rome);
cavator;cabator;8;83;Miscellaneous Services;;engraver, maker of hollow spaces;
cellariarius;cellararius, cellaricarius, cellarius, cellio;5;55;Household Goods;;one who keeps provisions, a steward, butler;
chartarius;cartharius;9;91;Miscellaneous Services;;papyrus maker;
circumitor;circitor;2;22;Managerial;;A watchman, overseer, supervisor;
cisiarius;cisianus;9;95;Transport;Land transport;The maker / driver of a cabriolet;
claustrarius;clastrarius;8;83;Household Goods;;lock maker and seller;
clavarius;claharus;8;83;Metal-Working;;nail maker;nail maker
claviclarius;clavicularius;8;83;Metal-Working;;A bar, bolt of the door maker, or guardian of a prison;
coactarius;coactiliarius;7;75;Clothing;;felt maker;
coactor;coator;7;75;Clothing;;felt producer or seller;
coctarius;coctuarius, cocus, coctor;5;53;Food-Production;;a cook;
conchylegulus;conchyliarius, conchyliolegulus, conquiliarius;7;75;Clothing;Colour production;a collector of purpur shell-fish;
confectuarius;confectorarius;5;53;Food-Production;;a butcher;
corarianus;corarius, coriarius;7;76;Clothing;;tanner of leather and hides;
cretaria;cretarius;4;43;Retail;;a shop for Cretan earth, pottery, seller;
cultellarius;cultrarius;8;83;Metal-Working;;knife maker, cutler;
cunicularius;cuniculator;0;2;Building;;tunnel builder;
eborarius;eburarius;8;88;Miscellaneous Services;;a worker in ivory;
ephippiarius;epippiarius;8;80;Transport;Land transport;saddler;
exclussor;excusor;8;83;Metal-Working;;blacksmith;
fabricensis;fabriciensis, fabriciensius, fabriciesis;8;83;Metal-Working;;an armorer;
figulus;figelus, figlinator, figlus, figularius, figulator;8;89;Household Goods;;a potter;
finctor;fictor;1;16;Plastic Arts;;a moulder, sculptor, image-maker, statuary;
flammarius;flammearius;7;75;Clothing;Colour production;read colour dyer, producer;
fosor;fossor;9;97;Building;;a digger, delver, ditcher;
frygio;phrygio;8;88;Metal-Working;;goldsticker;
funerarius;funerator;5;59;Death-care sector;;mortician;
gypsarius;gupsarius;9;95;Building;;plaster worker;
harenarius;arenarius;1;17;Performing Arts;;A combatant in the amphitheatre, a gladiator or A teacher of the elements of arithmetic;
holitor;hilitor;6;63;Food-Production;;gardener, vegetable gardener;
hortolanus;hortulanus;5;55;Miscellaneous Services;;gardener;
inpiliarius;impiliarius;8;80;Clothing;Shoe maker;slipper maker, shoe maker;
insignitor;insignarius;1;16;Plastic Arts;;an engraver;
intestinarius;intestinus;8;82;Building;Wood worker;woodworker;
iumentarius;jumentarius;9;97;Transport;Land transport;of or belonging to draught-cattle;
lactarius;lactearius;5;53;Food-Production;;food preparer with milk;
lagunaria;lagoenaria;8;89;Household Goods;;female potter;
lanipendius;lanipendia;7;75;Clothing;;one who weighs out wool;
lanius;lanio;7;77;Food-Production;;a butcher;
lapicida;lapicidinarius, lapidicida;7;71;Building;Stone worker;a quarryman, stone-cutter;
lapidecesor;lapidicaesor;7;71;Building;Stone worker;a quarryman, stone-cutter;
lectuarius;lectarius;8;81;Household Goods;;a couch-maker;
