,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures,geometry,ID,level_0,Unnamed: 0_y,index,pop_sample,pop_est,pop_diff,western_province,inscr_N,occups_list,occups_N,occups_unique_N,inscr_N_post235,occups_N_post235,ratio_post235,city_province,occups_cats_list,occups_cats_unique_N,occups_cats_vec,shares_vec,ZI,largest_cat,ZI_cat,shares_weighted_vec,RZI,RZI_cat,DI
156,Hanson2016_157,Abbir Maius,Henchir en Naam,Africa Proconsularis,Tunisia,3,32 F4,100,,BNP; Lepelley 1979-1981.,,,['Municipium'],"['Aqueduct', 'Baths', 'Forum', 'Fountain']",4,POINT (10.008827 36.374),157,,,,,1000.0,,True,12.0,['curator'],1.0,1.0,0.0,0.0,0.0,Abbir Maius (Africa Proconsularis),['Managerial'],1,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         4.76588437
 0.         0.         0.         0.         0.         0.
 0.        ]",4.76588437321122,Managerial,1.0
158,Hanson2016_159,Abthungi,Henchir es Souar,Africa Proconsularis,Tunisia,3,32 E4,-50,,Boatwright 2000; Lepelley 1979-1981; Quinn and Wilson 2013; Russell 1958.,35.0,Unspecified,"['Municipium', 'Rights and privileges', 'Rights and privileges']",['Capitolium'],1,POINT (10.019787 36.199895),159,,,,,4837.0,,True,36.0,"['curator', 'curator', 'curator', 'curator', 'curator', 'mimus']",6.0,2.0,6.0,4.0,0.16666666666666666,Abthungi (Africa Proconsularis),"['Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Performing Arts']",2,[0 0 0 0 0 0 0 0 0 0 0 5 0 0 1 0 0 0 0],"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.83333333
 0.         0.         0.16666667 0.         0.         0.
 0.        ]",0.8333333333333334,5,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         3.97157031
 0.         0.         3.68081344 0.         0.         0.
 0.        ]",3.9715703110093497,Managerial,1.3846153846153844
159,Hanson2016_160,Acholla,Henchir Bou Tria,Africa Proconsularis,Tunisia,4 or 5,33 H2,-200,,BNP; Boatwright 2000; Bomgardner 2000; DGRG; Golvin 1988; Lepelley 1979-1981; PECS; Wilson 2011.,,,"['Municipium', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Baths of Hadrian', 'Baths of the Marine Revel', 'Forum']",4,POINT (11.018733 35.07824),160,,,,,1000.0,,True,17.0,"['curator', 'curator', 'curator']",3.0,1.0,1.0,1.0,0.058823529411764705,Acholla (Africa Proconsularis),"['Managerial', 'Managerial', 'Managerial']",1,[0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,3,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         4.76588437
 0.         0.         0.         0.         0.         0.
 0.        ]",4.76588437321122,Managerial,1.0
160,Hanson2016_161,Agbia,Henchir Ain Hedja,Africa Proconsularis,Tunisia,3,32 D4,100,,BNP; Bomgardner 2000; Lepelley 1979-1981; McEvedy 2011.,,,"['Municipium', 'Rights and privileges']",['Amphitheatre (Small)'],1,POINT (9.229926 36.391389),161,,,,,1000.0,,True,141.0,"['curator', 'artifex']",2.0,2.0,7.0,0.0,0.04964539007092199,Agbia (Africa Proconsularis),"['Managerial', 'Plastic Arts']",2,[0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0],"[0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.
 0. ]",0.5,1,Plastic Arts,"[ 0.          0.          0.          0.          0.          0.
  0.         32.27131783  0.          0.          0.          2.38294219
  0.          0.          0.          0.          0.          0.
  0.        ]",32.27131782945737,Plastic Arts,2.0
162,Hanson2016_163,Apisa Maius,Tarf ech Chena,Africa Proconsularis,Tunisia,3,32 E4,200,,BNP; Lepelley 1979-1981.,,,['Municipium'],,0,POINT (9.722376 36.34713),163,,,,,1000.0,,True,51.0,"['curator', 'curator', 'columnarius', 'curator', 'curator', 'curator']",6.0,2.0,0.0,0.0,0.0,Apisa Maius (Africa Proconsularis),"['Managerial', 'Managerial', 'Building', 'Managerial', 'Managerial', 'Managerial']",2,[0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 1 0],"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.83333333
 0.         0.         0.         0.         0.         0.16666667
 0.        ]",0.8333333333333334,5,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         3.97157031
 0.         0.         0.         0.         0.         2.22739433
 0.        ]",3.9715703110093497,Managerial,1.3846153846153844
163,Hanson2016_164,Aunobari,Henchir Kern el Kebch,Africa Proconsularis,Tunisia,3,32 D4,200,,BNP; Lepelley 1979-1981.,,,['Municipium'],,0,POINT (9.153496 36.36639),164,,,,,1000.0,,True,9.0,"['scriba', 'scriba', 'scriba']",3.0,1.0,1.0,0.0,0.1111111111111111,Aunobari (Africa Proconsularis),"['Education', 'Education', 'Education']",1,[0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,3,Education,"[ 0.          0.          0.          0.          0.          0.
  0.          0.         20.71144279  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.        ]",20.711442786069654,Education,1.0
165,Hanson2016_166,Avitta,Henchir Bou Ftis,Africa Proconsularis,Tunisia,3,32 E4,-50,,BNP; Boatwright 2000; Lepelley 1979-1981; Russell 1958.,48.0,Unspecified,"['Municipium', 'Rights and privileges']","['Baths', 'Baths']",2,POINT (9.705949 36.409022),166,,,,,7376.0,,True,41.0,"['possessor', 'conditor', 'curator', 'curator', 'sutor', 'faber', 'curator']",7.0,5.0,2.0,0.0,0.04878048780487805,Avitta (Africa Proconsularis),"['Managerial', 'Food-Production', 'Managerial', 'Managerial', 'Clothing', 'Unclassified', 'Managerial']",4,[1 0 0 0 0 0 0 0 0 0 0 4 1 0 0 1 0 0 0],"[0.14285714 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.57142857
 0.14285714 0.         0.         0.14285714 0.         0.
 0.        ]",0.5714285714285714,4,Managerial,"[2.54695626 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         2.7233625
 2.34601296 0.         0.         1.71634714 0.         0.
 0.        ]",2.7233624989778398,Managerial,2.578947368421052
168,Hanson2016_169,Bisica,Henchir Bijga,Africa Proconsularis,Tunisia,3,32 E4,100,,Boatwright 2000; Lepelley 1979-1981; Quinn and Wilson 2013; Salmon 1969.,,,"['Colonia', 'Municipium']","['Aqueduct', 'Baths', 'Capitolium?']",3,POINT (9.634267 36.397969),169,,,,,1000.0,,True,47.0,"['frumentarius', 'tector', 'curator', 'curator', 'curator', 'conditor']",6.0,4.0,3.0,2.0,0.06382978723404255,Bisica (Africa Proconsularis),"['Retail', 'Building', 'Managerial', 'Managerial', 'Managerial', 'Food-Production']",4,[1 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0],"[0.16666667 0.16666667 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.5
 0.         0.         0.         0.         0.         0.16666667
 0.        ]",0.5,3,Managerial,"[2.97144897 2.05580247 0.         0.         0.         0.
 0.         0.         0.         0.         0.         2.38294219
 0.         0.         0.         0.         0.         2.22739433
 0.        ]",2.971448965024982,Food-Production,2.9999999999999996
169,Hanson2016_170,Capsa,Gafsa,Africa Proconsularis,Tunisia,3,33 C4,100,,DGRG; Lepelley 1979-1981; PECS; Russell 1958; Salmon 1969.,28.0,Unspecified,"['Colonia', 'Municipium', 'Rights and privileges']","['Amphitheatre?', 'Aqueduct', 'Mounmental spring pool']",3,POINT (8.786674 34.418648),170,,,,,3590.0,,True,110.0,['curator'],1.0,1.0,2.0,0.0,0.01818181818181818,Capsa (Africa Proconsularis),['Managerial'],1,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         4.76588437
 0.         0.         0.         0.         0.         0.
 0.        ]",4.76588437321122,Managerial,1.0
171,Hanson2016_172,Carthago,Tunis,Africa Proconsularis,Tunisia,1,32 F3,-49,,Bomgardner 2000; Brunt 1971; Cornell and Mathews 1982; Lepelley 1979-1981; MacMullen 2000; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; 1995; Wilson 2011; Woloch 1983.,343.0,Inhabited area,"['Colonia', 'Colonia', 'Colonia', 'Provincial capital', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Amphitheatre', 'Aqueduct', 'Aqueduct', 'Aqueduct', 'Aqueduct (Zaghouan)', 'Baths', 'Baths (Antonine)', 'Baths (Bir el-Jabbana)', 'Capitolium', 'Fortified hill', 'Forum', 'Harbour', 'Hippodrome', 'Odeum', 'Temple', 'Theatre', 'Urban grid', 'Walls']",19,POINT (10.327685 36.851318),172,4.0,4.0,4.0,102170.0,102074.0,1.000940494151302,True,8185.0,"['mensor', 'mensor', 'mensor', 'mensor', 'figulus', 'curator', 'arcarius', 'mesor', 'mulionus', 'venator', 'gladiator', 'gladiator', 'medicus', 'mensor', 'sarcinatrix', 'curator', 'navicularius', 'curator', 'curator', 'conditor', 'curator', 'mensor', 'mensor', 'agrimensor', 'mensor', 'mensor', 'chorographus', 'faber', 'arcarius', 'medicus', 'medicus', 'medicus', 'exceptor', 'lecticarius', 'venator', 'venator', 'gladiator', 'aerarius', 'coriarius', 'medicus', 'mensor', 'possessor', 'venator', 'venator', 'medicus', 'lavator', 'nauta', 'argentarius', 'gladiator', 'gladiator', 'aerarius', 'architectus', 'scaenicus', 'aurifex', 'aurifex']",55.0,26.0,59.0,4.0,0.007208307880268785,Carthago (Africa Proconsularis),"['Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Household Goods', 'Managerial', 'Finance', 'Miscellaneous Services', 'Transport', 'Miscellaneous Services', 'Performing Arts', 'Performing Arts', 'Miscellaneous Services', 'Miscellaneous Services', 'Clothing', 'Managerial', 'Transport', 'Managerial', 'Managerial', 'Food-Production', 'Managerial', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Unclassified', 'Finance', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Education', 'Food-Production', 'Miscellaneous Services', 'Miscellaneous Services', 'Performing Arts', 'Metal-Working', 'Clothing', 'Miscellaneous Services', 'Miscellaneous Services', 'Managerial', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Clothing', 'Transport', 'Metal-Working', 'Performing Arts', 'Performing Arts', 'Metal-Working', 'Building', 'Performing Arts', 'Metal-Working', 'Metal-Working']",12,[ 2  0  5  0  0  1  3  0  1  0  0  6  3  0  6  1  2  1 24],"[0.03636364 0.         0.09090909 0.         0.         0.01818182
 0.05454545 0.         0.01818182 0.         0.         0.10909091
 0.05454545 0.         0.10909091 0.01818182 0.03636364 0.01818182
 0.43636364]",0.43636363636363634,24,Miscellaneous Services,"[0.64831614 0.         0.95089082 0.         0.         0.90647795
 1.46972639 0.         0.37657169 0.         0.         0.51991466
 0.8957504  0.         2.40925971 0.21844418 1.81295591 0.24298847
 3.28199064]",3.2819906380881987,Miscellaneous Services,4.30298719772404
