province	eci
Latium et Campania (Regio I)	6.071371536981143
Venetia et Histria (Regio X)	0.5644608782062027
Africa Proconsularis	1.3030059798255984
Narbonensis	0.2346631201240543
Numidia	0.07937267763365888
Umbria (Regio VI)	0.3579537161251393
Germania Superior	0.01897804907545639
Etruria (Regio VII)	0.4343151759419952
Lugdunensis	-0.5701125803783164
Apulia et Calabria (Regio II)	0.7027240926742049
Baetica	1.4658374077173155
Dacia	-0.27204344346618947
Transpadana (Regio XI)	-0.04385863013776746
Aemilia (Regio VIII)	0.15938169884486278
Samnium (Regio IV)	1.1483589265890006
Pannonia Inferior	-0.06044863929949604
Hispania Citerior	0.4007597598582075
Britannia	-0.9163230038042928
Dalmatia	0.16796756516644626
Pannonia Superior	-0.4756543378180271
Germania Inferior	-0.479700519773896
Mauretania Caesariensis	0.7517289864791049
Picenum (Regio V)	0.22536781776732714
Moesia Inferior	-0.4986398532087578
Belgica	0.30713222014809977
Asia	-0.13546426313380613
Liguria (Regio IX)	-0.2233662045895107
Aquitania	-0.4719530600367766
Lusitania	0.46134104742925813
Noricum	-0.1825299477306209
Raetia	-0.9611224095863985
Achaia	0.37664772752042086
Macedonia	0.103343768325469
Galatia	-0.15074585578714167
Bruttium et Lucania (Regio III)	-0.05469727344153141
Moesia Superior	-0.726765777801526
Mauretania Tingitana	-0.7047238885711895
Sardinia	-0.5443491861517961
Sicilia	-0.16411532066216594
Syria	-0.010558354472526775
Aegyptus	-0.4793131943032564
Alpes Maritimae	-0.14028530097013273
Eastern border	-0.6830474375693824
Cyrene	0.1450201923532291
North-eastern border	-0.28505119453128175
Thracia	-0.9938366227634169
Epirus	-0.8561724104513697
Arabia	-0.8439536201841543
Bithynia et Pontus	0.2592921952498395
Alpes Cottiae	-0.8640266376853932
Creta	-0.25745393268036487
Cappadocia	-0.4710507742678921
Iudaea	-0.7439981259873151
Alpes Graiae	-0.7439981259873157
Corsica	-0.052764843143612745
Cilicia	-0.6768997696594116
