"","curator","faber","aerarius","medicus","scriba","frumentarius","centonarius","mensor","negotiator","argentarius","arcuarius","gladiator","dendrophorus","scaenicus","fosor","vestiarius","sagittarius","figulus","pistor","unctor","conditor","negotians","nauta","architectus","ornatrix","vexillarius","lecticarius","cocus","possessor","fullo","officinator","horrearius","redemptor","marmorarius","pinctor","vinarius","mercator","circumitor","navicularius","topiarius","aurifex","nummularius","pantomimus","unguentarius","artifex","tonsor","sarcinatrix","retiarius","coactor","lanarius","tector","ocularius","scriptor","utricularius","copo","sagarius","exceptor","purpurarius","sutor","vascularius","cellarius","lanius","venator","poeta","aquarius","dissignator","olearius","cornicen","margaritarius","navalis","lapidarius","plombarius","pomarius","scholasticus","aurificus","parasitus","scabillarius","tibicinus","aedifex","essedarius","lenuncularius","armamentarius","athleta","factor","finctor","iumentarius","piscator","salarius","tabernarius","agrimensor","caudicarius","coronarius","pecuarius","quasillaria","caelator","eborarius","gerulus","scutarius","cretaria","navigans","opifex","plumarius","salinator","anularius","calegarius","capsarius","forensis","gladiarius","lintio","magnarius","ornator","quadratatorius","vitriarius","acceptor","candidator","suarius","aeneator","caupo","corarius","decanus","diffusor","inaurator","lignarius","lintiarius","materiarius","mulionus","politor","seplasiarius","spatharius","subaedianus","agricola","albarius","cerarius","coriarius","flaturarius","gemmarius","holitor","infector","mimus","pausarius","porcinarius","propola","saccarius","specularius","stuppator","tonstrix","urinator","vestifex","archimagirus","aurarius","barbaricarius","claviclarius","curator navium","fabricensis","ferrarius","fidicinus","fontanus","intestinarius","monetarius","nauclerus","olarius","operarius","pellio","picarius","restio","sarcinator","scalptor","sculptor","sector","signator","speculariarius","tegularius","vestiplex","vestitor","annonarius","apparator","asinarius","brattiarius","canalicularius","caplator","capulator","claustrarius","clavarius","colorator","cuparius","glutinator","harenarius","hastifer","institor","linarius","lyntrarius","macellarius","machinarius","naupegiarius","pectinarius","sacomarius","sartor","statuarius","susceptor","textor","tignarius","unctrix","aurufex","boarius","calcariensis","calciator","carminator","cisiarius","confector","custodiarius","exclussor","gallinarius","lanifica","lanipendius","lorarius","lupinarius","manticularius","molendarius","paenularius","parietarius","pernarius","pigmentarius","pincerna","salsarius","scapharius","sericarius","serrarius","siricarius","solatarius","tabernacularius","ustor","abetarius","automatarius","axearius","ballistrarius","brattearius","candelabrarius","candidarius","carbonarius","carpentarius","cassidarius","cerdo","chartarius","coactarius","coctor","cultellarius","cunarius","dulciarius","fabriciensis","faenarius","furnaria","furnarius","glutinarius","gypsarius","hortolanus","lactarius","lectuarius","libarius","librator","lintearius","linteo","lotor","lucernarius","machinator","malleator","metator","nauticarius","negotiator artis vestiariae","offector","panarius","pastilarius","pavimentarius","plaustrarius","pollio","popinarius","professor","ratiarius","rosarius","sigillarius","soliarius","suppostor","tessellarius","tignor","tinctor","transvectuarius","vietor","acuarius","acucularius","aequator monetae","aluminarius","ampullarius","anabolicarius","anaglyptarius","armariarius","aromatarius","auricaesor","caementarius","calcarius","calcis coctor","capistrarius","cavator","cellararius","ceriolarius","cervesarius","chorographus","citrarius","clibanarius","columnarius","conditarius","confectuarius","conquiliarius","crepidarius","culinarius","cullearius","dealbator","dolabrarius","dominus navium","embaenitarius","ephippiarius","exactor auri argenti et aeris","exonerator","fabricator","falancarius","farmacopola","ferrius","fictiliarius","figlinator","florentinarius","focarius","fornacator","funerarius","gallicarius","gaunacarius","gisiarius","imaginarius","inpiliarius","inundatoris","lanternarius","lapicida","lavator","libitinarius","limarius","liticinus","locularius","lotorus","manicarius","manupretiarius","medicator","montanarius","musarius","musivarius","navigator","navigiarius","negotiator artis macellariae","negotiator artis prossariae","negotiator artis purpurariae","negotiator artis ratiariae","negotiator campi pecuarii","negotiator penoris et vinorum","negotiator salsari leguminari","oculariarius","officinatrix","olitor","palangarius","pectenarius","pectinator","peponarius","piscicapus","plutearius","polio","promus","psecas","pugillariarius","quadrigularius","refector pectinarius","resinaria","restiarius","salgamarius","salsamentarius","sandaliarius","sarsor","sartur","scaenarius","scalarius","scamillarius","scissor","segmentarius","sessoriarius","sigillariarius","signarius","similaginarius","solearius","subaedanus","subrutor","textrix","tibiarius","tignuarius","tosillaria","tractator","trapezita","tubarius","tubularius","veterarius","viminarius","violarius","vitrarius"
"Hanson2016_992",454,78,170,163,176,97,9,62,35,61,35,1,5,15,92,46,6,37,47,55,31,37,2,22,42,28,49,42,15,18,32,38,18,16,24,23,13,4,2,20,21,13,16,17,7,17,30,6,15,10,10,18,9,0,1,14,13,9,13,16,18,8,5,9,17,7,10,1,15,4,2,12,7,14,9,4,9,9,6,5,0,5,1,2,10,6,9,5,10,1,4,5,2,12,7,11,10,5,0,0,4,7,0,2,2,7,3,2,2,6,5,3,1,4,5,8,3,0,6,0,3,6,1,3,3,4,5,0,5,4,1,1,0,3,6,5,3,1,3,1,5,0,2,6,1,5,5,6,5,3,2,0,0,0,3,4,3,1,5,0,3,1,0,0,2,2,2,1,1,3,3,1,5,5,0,2,1,3,2,0,1,1,1,4,0,1,0,0,1,1,0,1,4,0,0,0,0,0,2,2,1,3,3,2,2,3,0,0,2,1,0,1,1,1,1,1,0,3,1,2,3,3,0,3,0,1,1,1,3,2,0,1,2,2,2,2,2,0,1,0,1,1,2,2,0,0,1,2,0,2,0,1,2,0,1,2,2,0,1,2,0,0,2,1,2,0,0,0,0,1,2,1,0,0,2,0,0,0,2,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1
"Hanson2016_788",62,15,22,3,19,18,0,21,4,4,3,2,16,2,0,0,0,2,10,1,1,11,0,0,9,0,0,0,0,1,4,0,0,1,0,9,2,0,9,0,0,1,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,14,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_790",5,8,1,1,2,0,0,2,1,2,6,38,0,1,0,1,0,1,3,1,0,0,0,4,0,0,0,1,1,11,0,0,1,0,1,0,5,0,0,0,1,0,1,3,0,3,0,3,0,0,0,0,4,0,10,1,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Hanson2016_620",19,5,2,2,1,1,4,0,14,3,1,0,5,1,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_902",46,7,5,3,7,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,22,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_794",20,4,2,4,10,1,0,2,1,3,0,2,2,0,0,0,0,1,0,1,1,0,0,2,3,1,0,0,1,0,0,0,3,3,1,0,1,0,0,2,0,1,3,1,0,1,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_651",4,9,0,6,0,0,0,1,1,7,0,0,0,0,0,3,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,7,0,2,1,0,0,2,6,0,2,1,2,0,1,0,1,2,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Hanson2016_547",9,24,0,1,2,4,6,3,3,0,2,0,0,0,0,0,3,0,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_1048",9,26,3,2,0,0,25,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_1045",3,14,0,10,0,2,4,1,5,2,1,0,1,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
