"","curator","faber","aerarius","scriba","medicus","frumentarius","mensor","centonarius","argentarius","fosor","negotiator","vestiarius","figulus","pistor","dendrophorus","unctor","arcuarius","scaenicus","negotians","ornatrix","conditor","lecticarius","cocus","possessor","architectus","sagittarius","vexillarius","gladiator","officinator","horrearius","vinarius","marmorarius","redemptor","topiarius","pinctor","nauta","aurifex","circumitor","pantomimus","mercator","sarcinatrix","navicularius","tonsor","fullo","unguentarius","coactor","ocularius","tector","lanarius","nummularius","artifex","cellarius","sagarius","vascularius","aquarius","retiarius","scriptor","sutor","exceptor","margaritarius","poeta","purpurarius","dissignator","aurificus","lanius","scholasticus","utricularius","parasitus","plombarius","copo","lenuncularius","navalis","pomarius","scabillarius","tibicinus","aedifex","venator","factor","finctor","olearius","quasillaria","tabernarius","coronarius","eborarius","iumentarius","salarius","agrimensor","caudicarius","cornicen","gerulus","lapidarius","piscator","scutarius","opifex","armamentarius","caelator","capsarius","essedarius","magnarius","ornator","quadratatorius","salinator","suarius","acceptor","forensis","inaurator","materiarius","pecuarius","plumarius","politor","aeneator","candidator","cerarius","corarius","coriarius","decanus","flaturarius","holitor","lintiarius","lintio","mulionus","porcinarius","spatharius","specularius","stuppator","tonstrix","urinator","vestifex","anularius","archimagirus","athleta","curator navium","diffusor","fidicinus","gemmarius","gladiarius","intestinarius","monetarius","navigans","olarius","pellio","restio","sarcinator","scalptor","seplasiarius","signator","speculariarius","subaedianus","vestiplex","vestitor","vitriarius","agricola","albarius","aurarius","calegarius","claustrarius","colorator","fabricensis","fontanus","glutinator","lignarius","linarius","machinarius","mimus","pectinarius","picarius","propola","sacomarius","susceptor","tegularius","unctrix","apparator","aurufex","boarius","brattiarius","calcariensis","calciator","canalicularius","capulator","carminator","clavarius","cuparius","custodiarius","ferrarius","infector","lanipendius","molendarius","pernarius","pigmentarius","pincerna","salsarius","sculptor","siricarius","solatarius","tabernacularius","textor","tignarius","ustor","asinarius","automatarius","axearius","ballistrarius","barbaricarius","brattearius","candelabrarius","caplator","carbonarius","cassidarius","cerdo","chartarius","cisiarius","coactarius","confector","cretaria","cultellarius","cunarius","dulciarius","faenarius","glutinarius","hortolanus","institor","lactarius","lectuarius","lintearius","lucernarius","lupinarius","lyntrarius","macellarius","machinator","malleator","naupegiarius","nauticarius","paenularius","parietarius","pastilarius","pausarius","pavimentarius","popinarius","rosarius","saccarius","scapharius","sector","sigillarius","statuarius","suppostor","vietor","abetarius","acuarius","aluminarius","ampullarius","anabolicarius","annonarius","armariarius","aromatarius","caementarius","calcarius","candidarius","capistrarius","carpentarius","caupo","cavator","cellararius","chorographus","citrarius","columnarius","conditarius","confectuarius","crepidarius","culinarius","cullearius","dominus navium","exactor auri argenti et aeris","exclussor","exonerator","fabricator","fabriciensis","falancarius","farmacopola","ferrius","fictiliarius","figlinator","florentinarius","focarius","furnaria","furnarius","gallicarius","gallinarius","gaunacarius","gypsarius","harenarius","hastifer","imaginarius","inpiliarius","inundatoris","lanifica","lanternarius","lapicida","lavator","libitinarius","librator","limarius","liticinus","locularius","lorarius","manicarius","medicator","metator","montanarius","musivarius","navigator","navigiarius","negotiator campi pecuarii","negotiator penoris et vinorum","oculariarius","officinatrix","olitor","operarius","palangarius","panarius","pectenarius","peponarius","plaustrarius","plutearius","polio","pollio","professor","promus","psecas","pugillariarius","quadrigularius","ratiarius","refector pectinarius","resinaria","restiarius","salgamarius","salsamentarius","sandaliarius","sarsor","sartor","scaenarius","scalarius","scamillarius","scissor","segmentarius","sericarius","serrarius","sessoriarius","sigillariarius","signarius","similaginarius","solearius","subaedanus","subrutor","tessellarius","textrix","tibiarius","tignor","tignuarius","tinctor","tosillaria","tractator","tubarius","tubularius","viminarius","vitrarius"
"Hanson2016_992",454,78,170,176,163,97,62,9,61,92,35,46,37,47,5,55,35,15,37,42,31,49,42,15,22,6,28,1,32,38,23,16,18,20,24,2,21,4,16,13,30,2,17,18,17,15,18,10,10,13,7,18,14,16,17,6,9,13,13,15,9,9,7,9,8,14,0,4,12,1,0,4,7,9,9,6,5,2,10,10,12,10,5,11,6,5,1,4,1,10,2,9,5,4,5,7,7,5,6,5,3,0,8,4,3,6,3,2,7,5,3,5,0,6,3,0,6,3,3,2,4,5,5,6,1,5,5,6,2,5,1,0,3,4,5,2,1,5,0,3,0,2,2,2,0,3,3,4,5,5,1,1,1,3,2,1,4,0,3,1,1,1,4,3,0,0,0,0,2,1,3,2,3,2,3,2,3,2,1,0,1,0,1,3,1,1,3,3,3,0,3,1,1,3,2,2,1,0,1,2,2,2,2,2,2,0,1,1,1,2,0,2,2,0,0,1,2,2,2,1,1,2,2,2,2,1,0,1,1,2,0,0,1,2,2,1,1,2,0,2,0,1,2,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1
"Hanson2016_788",62,15,22,19,3,18,21,0,4,0,4,0,2,10,16,1,3,2,11,9,1,0,0,0,0,0,0,2,4,0,9,1,0,0,0,0,0,0,2,2,0,9,0,1,0,4,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,5,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_902",46,7,5,7,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,22,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_794",20,4,2,10,4,1,2,0,3,0,1,0,1,0,2,1,0,0,0,3,1,0,0,1,2,0,1,2,0,0,0,3,3,2,1,0,0,0,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,4,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_651",4,9,0,0,6,0,1,0,7,0,1,3,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,7,6,0,0,1,1,0,2,1,2,0,1,0,0,2,0,0,0,0,0,2,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Hanson2016_1048",9,26,3,0,2,0,0,25,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_821",19,7,1,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_1072",11,4,6,2,2,1,1,4,1,0,4,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_783",19,11,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanson2016_792",15,5,3,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
