"","country","urban_pop","rural_pop_min","rural_pop_max","tot_pop_min","tot_pop_max"
"ALB","ALB",52144,155215.067740549,213665.182725245,207359.067740549,265809.182725245
"AND","AND",0,5793.3412806332,7534.62677155201,5793.3412806332,7534.62677155201
"AUT","AUT",52912,751698.114273353,925233.154918221,804610.114273353,978145.154918221
"BEL","BEL",26781,318183.807409188,439799.13664187,344964.807409188,466580.13664187
"BGR","BGR",68113,748988.849813022,977654.253916229,817101.849813022,1045767.25391623
"BIH","BIH",13000,496951.249832592,604322.605969184,509951.249832592,617322.605969184
"CHE","CHE",21581,438761.837978025,602012.496148016,460342.837978025,623593.496148016
"CYP","CYP",54269,158122.236180758,196314.103442651,212391.236180758,250583.103442651
"DEU","DEU",106865,1045880.85874976,1439465.29243955,1152745.85874976,1546330.29243955
"DZA","DZA",203894,1585785.34846353,1849342.92471919,1789679.34846353,2053236.92471919
"EGY","EGY",986206,5277060.13691084,6548713.55869944,6263266.13691084,7534919.55869944
"ESP","ESP",312554,5628138.52579971,7320968.1388461,5940692.52579971,7633522.1388461
"FRA","FRA",981419,5847772.51128088,8004436.87133888,6829191.51128088,8985855.87133888
"GBR","GBR",185098,1314902,1814902,1500000,2e+06
"GIB","GIB",0,69.2437199878614,90.0560766420735,69.2437199878614,90.0560766420735
"GRC","GRC",1400996,494754.672253739,735540.556156941,1895750.67225374,2136536.55615694
"HRV","HRV",108506,575256.233801525,689498.676690922,683762.233801525,798004.676690922
"HUN","HUN",26654,369106.968761725,448856.27175425,395760.968761725,475510.27175425
"ISR","ISR",120090,354083.070520979,439606.106089243,474173.070520979,559696.106089243
"ITA","ITA",2590012,8881544.99466821,9892132.5927381,11471556.9946682,12482144.5927381
"JOR","JOR",74763,422524.390607334,524578.319458557,497287.390607334,599341.319458557
"LBN","LBN",42549,173492.035908145,215396.229565163,216041.035908145,257945.229565163
"LBY","LBY",285542,2872746.20661629,3350196.71916328,3158288.20661629,3635738.71916328
"LIE","LIE",0,1819.19721165258,2514.52570632292,1819.19721165258,2514.52570632292
"LUX","LUX",0,26682.0942816534,36880.4500908404,26682.0942816534,36880.4500908404
"MAR","MAR",15344,371635.296955053,433401.09534096,386979.296955053,448745.09534096
"MCO","MCO",0,96.2318046970226,133.013257235973,96.2318046970226,133.013257235973
"MKD","MKD",7910,130265.225003697,182225.2202191,138175.225003697,190135.2202191
"MNE","MNE",8086,132411.557399885,161020.41690265,140497.557399885,169106.41690265
"NLD","NLD",5837,147329.782363987,203641.7617003,153166.782363987,209478.7617003
"PRT","PRT",34349,1010829.99646181,1314651.83628825,1045178.99646181,1349000.83628825
"PSE","PSE",110550,106746.770245855,132529.725118849,217296.770245855,243079.725118849
"ROU","ROU",83296,1096182.36623157,1333023.68069642,1179478.36623157,1416319.68069642
"SDN","SDN",0,160.010741859639,199.875952146873,160.010741859639,199.875952146873
"SMR","SMR",0,1855.81932055309,2053.10245042226,1855.81932055309,2053.10245042226
"SRB","SRB",53082,755751.23672982,921276.178957613,808833.23672982,974358.178957613
"SVK","SVK",0,2974.45856126733,3617.12049159341,2974.45856126733,3617.12049159341
"SVN","SVN",5760,402560.080268637,456947.99886028,408320.080268637,462707.99886028
"SYR","SYR",255201,1738783.50027672,2158758.51608553,1993984.50027672,2413959.51608553
"TUN","TUN",477374,744013.054504892,867668.048251598,1221387.05450489,1345042.0482516
"TUR","TUR",1443600,8179106.36929226,9310399.72522775,9622706.36929226,10753999.7252277
"UKR","UKR",0,1673.89645906865,2035.55876075918,1673.89645906865,2035.55876075918
"VAT","VAT",0,15.6863401103526,17.3538786680611,15.6863401103526,17.3538786680611
