"","country","s_it","g_it","a_it","r_it","eci"
"1","TUR",1,1,1,1,-1.20835355786394
"2","TUN",1,1,1,1,-0.671407929005852
"3","LBY",1,1,1,1,-0.472147143691602
"4","GRC",1,1,1,1,-0.455920868029443
"5","HRV",1,1,1,1,-0.285187760730781
"6","GBR",1,1,1,1,-0.269229893734307
"7","AUT",1,1,1,1,-0.220037280768789
"8","BGR",1,1,1,1,-0.203286185771094
"9","ROU",1,1,1,1,-0.196820331337107
"10","PRT",1,1,1,1,-0.187220644587622
"11","NLD",1,1,1,1,-0.136898299015794
"12","BIH",1,1,1,1,-0.136596774210957
"13","MAR",1,1,1,1,-0.113116967240933
"14","CHE",1,1,1,1,-0.0999375921363882
"15","SRB",1,1,1,1,-0.0969506246553406
"16","HUN",1,1,1,1,-0.0820830745637668
"17","DZA",1,1,1,1,-0.0564105209914648
"18","SVN",1,1,1,1,-0.0552635755323888
"19","BEL",1,1,1,1,-0.0156323464513342
"20","ESP",1,1,1,1,0.0853900066395498
"21","DEU",1,1,1,1,0.0983405918386417
"22","FRA",1,1,1,1,0.411650542080981
"23","ITA",1,1,1,1,4.36712022975973
"24","TUR",1,1,1,2,-1.20702239887945
"25","TUN",1,1,1,2,-0.664235342394695
"26","LBY",1,1,1,2,-0.497174189303288
"27","GRC",1,1,1,2,-0.457625326830403
"28","HRV",1,1,1,2,-0.286628127047824
"29","GBR",1,1,1,2,-0.266202753738854
"30","AUT",1,1,1,2,-0.222912158336371
"31","BGR",1,1,1,2,-0.204475857664998
"32","ROU",1,1,1,2,-0.19628394513449
"33","PRT",1,1,1,2,-0.185105039146397
"34","BIH",1,1,1,2,-0.135786700654922
"35","NLD",1,1,1,2,-0.13546534836172
"36","MAR",1,1,1,2,-0.112574375037119
"37","SRB",1,1,1,2,-0.0990250274086769
"38","CHE",1,1,1,2,-0.0982547705917714
"39","HUN",1,1,1,2,-0.082417131944876
"40","SVN",1,1,1,2,-0.0572843801719456
"41","DZA",1,1,1,2,-0.0531176888133227
"42","BEL",1,1,1,2,-0.0153569466849437
"43","ESP",1,1,1,2,0.088854876227399
"44","DEU",1,1,1,2,0.103755885739375
"45","FRA",1,1,1,2,0.419565853674565
"46","ITA",1,1,1,2,4.36477089250473
"47","TUR",1,1,1,3,-1.15249458574911
"48","TUN",1,1,1,3,-0.656545786828582
"49","LBY",1,1,1,3,-0.492150622296945
"50","GRC",1,1,1,3,-0.446225183340696
"51","GBR",1,1,1,3,-0.270787902973141
"52","HRV",1,1,1,3,-0.268079834338184
"53","AUT",1,1,1,3,-0.222664500275194
"54","BGR",1,1,1,3,-0.204229500158946
"55","ROU",1,1,1,3,-0.195621345770588
"56","PRT",1,1,1,3,-0.186043790830231
"57","NLD",1,1,1,3,-0.137217003890941
"58","BIH",1,1,1,3,-0.133388070866142
"59","MAR",1,1,1,3,-0.111515971403171
"60","SRB",1,1,1,3,-0.10035561023923
"61","CHE",1,1,1,3,-0.100352642745975
"62","HUN",1,1,1,3,-0.0853569678351642
"63","DZA",1,1,1,3,-0.0607226916767888
"64","SVN",1,1,1,3,-0.0577133002976591
"65","BEL",1,1,1,3,-0.0167437477145294
"66","DEU",1,1,1,3,0.0824079883805511
"67","ESP",1,1,1,3,0.0851337549261723
"68","FRA",1,1,1,3,0.340168928747853
"69","ITA",1,1,1,3,4.39049838717664
"70","TUR",1,1,1,4,-1.09839652131961
"71","TUN",1,1,1,4,-0.642516840553136
"72","LBY",1,1,1,4,-0.464302524703885
"73","GRC",1,1,1,4,-0.419074302299614
"74","GBR",1,1,1,4,-0.304364829319315
"75","HRV",1,1,1,4,-0.259656874244701
"76","PRT",1,1,1,4,-0.216602615608028
"77","AUT",1,1,1,4,-0.215249950191562
"78","BGR",1,1,1,4,-0.197426977411434
"79","ROU",1,1,1,4,-0.195296546096948
"80","NLD",1,1,1,4,-0.165360915340197
"81","BIH",1,1,1,4,-0.130673297257034
"82","MAR",1,1,1,4,-0.110805863651359
"83","CHE",1,1,1,4,-0.106036602343087
"84","SRB",1,1,1,4,-0.0907991905521851
"85","HUN",1,1,1,4,-0.0870211715945187
"86","DZA",1,1,1,4,-0.0620966786897989
"87","SVN",1,1,1,4,-0.0592654366544979
"88","BEL",1,1,1,4,-0.0181988525768422
"89","DEU",1,1,1,4,0.0506018998590491
"90","ESP",1,1,1,4,0.097615185936837
"91","FRA",1,1,1,4,0.281751032779712
"92","ITA",1,1,1,4,4.41317787183215
"93","TUR",1,1,1,5,-1.0983965213196
"94","TUN",1,1,1,5,-0.642516840553135
"95","LBY",1,1,1,5,-0.464302524703884
"96","GRC",1,1,1,5,-0.419074302299612
"97","GBR",1,1,1,5,-0.304364829319315
"98","HRV",1,1,1,5,-0.259656874244702
"99","PRT",1,1,1,5,-0.216602615608028
"100","AUT",1,1,1,5,-0.215249950191562
"101","BGR",1,1,1,5,-0.197426977411434
"102","ROU",1,1,1,5,-0.195296546096948
"103","NLD",1,1,1,5,-0.165360915340197
"104","BIH",1,1,1,5,-0.130673297257034
"105","MAR",1,1,1,5,-0.110805863651359
"106","CHE",1,1,1,5,-0.106036602343086
"107","SRB",1,1,1,5,-0.090799190552185
"108","HUN",1,1,1,5,-0.0870211715945189
"109","DZA",1,1,1,5,-0.0620966786897995
"110","SVN",1,1,1,5,-0.0592654366544976
"111","BEL",1,1,1,5,-0.018198852576842
"112","DEU",1,1,1,5,0.0506018998590462
"113","ESP",1,1,1,5,0.0976151859368357
"114","FRA",1,1,1,5,0.281751032779706
"115","ITA",1,1,1,5,4.41317787183215
"116","TUR",1,1,2,1,-1.33622037661531
"117","TUN",1,1,2,1,-0.728053182250622
"118","GRC",1,1,2,1,-0.510710477008502
"119","LBY",1,1,2,1,-0.492998335779665
"120","HRV",1,1,2,1,-0.289801400242998
"121","GBR",1,1,2,1,-0.228921943141494
"122","AUT",1,1,2,1,-0.213180401751118
"123","BGR",1,1,2,1,-0.210035897058247
"124","ROU",1,1,2,1,-0.207388952246802
"125","PRT",1,1,2,1,-0.159552130915484
"126","BIH",1,1,2,1,-0.148457538766934
"127","NLD",1,1,2,1,-0.126572174196397
"128","MAR",1,1,2,1,-0.113879362120656
"129","CHE",1,1,2,1,-0.101982123757571
"130","SRB",1,1,2,1,-0.0993654042618169
"131","HUN",1,1,2,1,-0.0733758738394495
"132","SVN",1,1,2,1,-0.0582368327663143
"133","DZA",1,1,2,1,-0.0319630545476038
"134","BEL",1,1,2,1,-0.0133398296511132
"135","ESP",1,1,2,1,0.106988102637891
"136","DEU",1,1,2,1,0.198141083372568
"137","FRA",1,1,2,1,0.542397797238561
"138","ITA",1,1,2,1,4.29650830766908
"139","TUR",1,1,2,2,-1.2508887485143
"140","TUN",1,1,2,2,-0.693631006896868
"141","LBY",1,1,2,2,-0.496498434630378
"142","GRC",1,1,2,2,-0.483085868733883
"143","HRV",1,1,2,2,-0.29550347008541
"144","GBR",1,1,2,2,-0.240562670428662
"145","AUT",1,1,2,2,-0.220766522998601
"146","BGR",1,1,2,2,-0.208832617085594
"147","ROU",1,1,2,2,-0.202310482247451
"148","PRT",1,1,2,2,-0.175115522686315
"149","BIH",1,1,2,2,-0.141231340794633
"150","NLD",1,1,2,2,-0.137217523122476
"151","MAR",1,1,2,2,-0.116766395481494
"152","CHE",1,1,2,2,-0.101069350192799
"153","SRB",1,1,2,2,-0.100273216965822
"154","HUN",1,1,2,2,-0.0763317260097356
"155","SVN",1,1,2,2,-0.058313298103723
"156","DZA",1,1,2,2,-0.0426313837539799
"157","BEL",1,1,2,2,-0.0146026540545108
"158","ESP",1,1,2,2,0.104186936555921
"159","DEU",1,1,2,2,0.138087053462756
"160","FRA",1,1,2,2,0.474443930034735
"161","ITA",1,1,2,2,4.33891431273323
"162","TUR",1,1,2,3,-1.2508887485143
"163","TUN",1,1,2,3,-0.693631006896864
"164","LBY",1,1,2,3,-0.496498434630376
"165","GRC",1,1,2,3,-0.483085868733882
"166","HRV",1,1,2,3,-0.295503470085409
"167","GBR",1,1,2,3,-0.240562670428662
"168","AUT",1,1,2,3,-0.220766522998601
"169","BGR",1,1,2,3,-0.208832617085595
"170","ROU",1,1,2,3,-0.202310482247451
"171","PRT",1,1,2,3,-0.175115522686315
"172","BIH",1,1,2,3,-0.141231340794635
"173","NLD",1,1,2,3,-0.137217523122477
"174","MAR",1,1,2,3,-0.116766395481496
"175","CHE",1,1,2,3,-0.1010693501928
"176","SRB",1,1,2,3,-0.100273216965823
"177","HUN",1,1,2,3,-0.076331726009737
"178","SVN",1,1,2,3,-0.0583132981037247
"179","DZA",1,1,2,3,-0.0426313837539799
"180","BEL",1,1,2,3,-0.0146026540545133
"181","ESP",1,1,2,3,0.104186936555922
"182","DEU",1,1,2,3,0.138087053462756
"183","FRA",1,1,2,3,0.474443930034735
"184","ITA",1,1,2,3,4.33891431273323
"185","TUR",1,1,2,4,-1.27100419316713
"186","TUN",1,1,2,4,-0.712793338464923
"187","LBY",1,1,2,4,-0.492353334982235
