"","country","s_it","g_it","a_it","r_it","eci"
"1","TUR",1,1,1,1,-1.71594513786335
"2","GRC",1,1,1,1,-0.660845076051022
"3","TUN",1,1,1,1,-0.609129128495536
"4","LBY",1,1,1,1,-0.580762761307377
"5","GBR",1,1,1,1,-0.520794565623372
"6","BGR",1,1,1,1,-0.408374374202327
"7","MAR",1,1,1,1,-0.324611815360114
"8","HRV",1,1,1,1,-0.316180671752439
"9","ROU",1,1,1,1,-0.31220212547758
"10","AUT",1,1,1,1,-0.263236344278107
"11","BIH",1,1,1,1,-0.250565987714107
"12","NLD",1,1,1,1,-0.187549242264301
"13","SRB",1,1,1,1,-0.147992851520683
"14","HUN",1,1,1,1,-0.0801097309341846
"15","PRT",1,1,1,1,-0.0649508099303686
"16","BEL",1,1,1,1,-0.0432804178389298
"17","SVN",1,1,1,1,-0.0363727321116227
"18","CHE",1,1,1,1,0.00887332460725695
"19","DZA",1,1,1,1,0.341118504106864
"20","DEU",1,1,1,1,0.462798699239895
"21","ESP",1,1,1,1,0.502268925966946
"22","FRA",1,1,1,1,1.41586104471415
"23","ITA",1,1,1,1,3.79198327409031
"24","TUR",1,1,1,2,-1.70736159218718
"25","GRC",1,1,1,2,-0.661624356788181
"26","TUN",1,1,1,2,-0.595503123403273
"27","LBY",1,1,1,2,-0.578449137104093
"28","GBR",1,1,1,2,-0.515038693963166
"29","BGR",1,1,1,2,-0.410138822409371
"30","MAR",1,1,1,2,-0.326134361699868
"31","HRV",1,1,1,2,-0.320199074328504
"32","ROU",1,1,1,2,-0.31539625062562
"33","AUT",1,1,1,2,-0.264805869095193
"34","BIH",1,1,1,2,-0.250603906593443
"35","NLD",1,1,1,2,-0.188738702172659
"36","SRB",1,1,1,2,-0.14929081546948
"37","HUN",1,1,1,2,-0.0820385683422647
"38","PRT",1,1,1,2,-0.0733289254398547
"39","BEL",1,1,1,2,-0.0439639408760519
"40","SVN",1,1,1,2,-0.0381240280068296
"41","CHE",1,1,1,2,0.00793433689190796
"42","DZA",1,1,1,2,0.340756034771709
"43","DEU",1,1,1,2,0.45841366499876
"44","ESP",1,1,1,2,0.501278463793766
"45","FRA",1,1,1,2,1.41289924159394
"46","ITA",1,1,1,2,3.79945842645494
"47","TUR",1,1,1,3,-1.77350335842381
"48","TUN",1,1,1,3,-0.646806131519925
"49","GRC",1,1,1,3,-0.634119009514137
"50","LBY",1,1,1,3,-0.603167443079912
"51","GBR",1,1,1,3,-0.463358419584394
"52","BGR",1,1,1,3,-0.358516805946638
"53","HRV",1,1,1,3,-0.337060941654742
"54","MAR",1,1,1,3,-0.283463769057091
"55","AUT",1,1,1,3,-0.264231279007087
"56","BIH",1,1,1,3,-0.242601256591793
"57","ROU",1,1,1,3,-0.241358553338819
"58","NLD",1,1,1,3,-0.219073857403666
"59","SRB",1,1,1,3,-0.182557074050768
"60","PRT",1,1,1,3,-0.0787847081272933
