"","province","s_it","g_it","a_it","r_it","eci"
"1","Lugdunensis",1,1,1,1,-0.449711393389935
"2","Belgica",1,1,1,1,-0.417594287643823
"3","Raetia",1,1,1,1,-0.395221912004386
"4","Germania Inferior",1,1,1,1,-0.384025140293099
"5","Aquitania",1,1,1,1,-0.345461158088288
"6","Pannonia Superior",1,1,1,1,-0.331273508359425
"7","Britannia",1,1,1,1,-0.303179763349864
"8","Germania Superior",1,1,1,1,-0.278712525942713
"9","Dacia",1,1,1,1,-0.251009182911453
"10","Narbonensis",1,1,1,1,-0.245795459831831
"11","Dalmatia",1,1,1,1,-0.23584517108401
"12","Pannonia Inferior",1,1,1,1,-0.215407079326915
"13","Moesia Inferior",1,1,1,1,-0.204233354312004
"14","Transpadana (Regio XI)",1,1,1,1,-0.201383351448009
"15","Noricum",1,1,1,1,-0.185213970650725
"16","Moesia Superior",1,1,1,1,-0.184530785644172
"17","Liguria (Regio IX)",1,1,1,1,-0.171828117321992
"18","Aemilia (Regio VIII)",1,1,1,1,-0.169036678116502
"19","Asia",1,1,1,1,-0.167394947821802
"20","Umbria (Regio VI)",1,1,1,1,-0.159239085222774
"21","Picenum (Regio V)",1,1,1,1,-0.15795901076704
"22","Bruttium et Lucania (Regio III)",1,1,1,1,-0.127693368627852
"23","Numidia",1,1,1,1,-0.106981756565957
"24","Mauretania Tingitana",1,1,1,1,-0.106024914557324
"25","Etruria (Regio VII)",1,1,1,1,-0.0995896494039272
"26","Macedonia",1,1,1,1,-0.0989729311822309
"27","Galatia",1,1,1,1,-0.0949977938551415
"28","Syria",1,1,1,1,-0.0942253249595803
"29","Sardinia",1,1,1,1,-0.0897627837243342
"30","Sicilia",1,1,1,1,-0.0863505560761704
"31","Hispania Citerior",1,1,1,1,-0.0817045643309804
"32","Lusitania",1,1,1,1,-0.0382880355742865
"33","Mauretania Caesariensis",1,1,1,1,-0.0137192917664716
"34","Achaia",1,1,1,1,-0.0021127775325944
"35","Africa Proconsularis",1,1,1,1,0.00550686089032084
"36","Apulia et Calabria (Regio II)",1,1,1,1,0.0135778948998096
"37","Samnium (Regio IV)",1,1,1,1,0.0757407888021736
"38","Venetia et Histria (Regio X)",1,1,1,1,0.116158306164485
"39","Baetica",1,1,1,1,0.17969958720816
"40","Latium et Campania (Regio I)",1,1,1,1,6.10379619372266
"41","Lugdunensis",1,1,1,2,-0.431819385095389
"42","Belgica",1,1,1,2,-0.393005098851866
"43","Raetia",1,1,1,2,-0.378461104518329
"44","Germania Inferior",1,1,1,2,-0.365583271143743
"45","Aquitania",1,1,1,2,-0.339969351689754
"46","Pannonia Superior",1,1,1,2,-0.330723914245999
"47","Britannia",1,1,1,2,-0.303730497626701
"48","Dacia",1,1,1,2,-0.264889889046561
"49","Germania Superior",1,1,1,2,-0.257023069840778
"50","Dalmatia",1,1,1,2,-0.231550353296865
"51","Pannonia Inferior",1,1,1,2,-0.223453972574346
"52","Narbonensis",1,1,1,2,-0.214406149661089
"53","Moesia Inferior",1,1,1,2,-0.210921168242644
"54","Noricum",1,1,1,2,-0.205088009309645
"55","Asia",1,1,1,2,-0.198722988942611
"56","Transpadana (Regio XI)",1,1,1,2,-0.189189821444523
"57","Moesia Superior",1,1,1,2,-0.188810878932147
"58","Liguria (Regio IX)",1,1,1,2,-0.171300286132673
"59","Picenum (Regio V)",1,1,1,2,-0.166390624003671
"60","Aemilia (Regio VIII)",1,1,1,2,-0.163455211790637
"61","Umbria (Regio VI)",1,1,1,2,-0.161020336090524
"62","Bruttium et Lucania (Regio III)",1,1,1,2,-0.137352867873855
"63","Numidia",1,1,1,2,-0.132219731303231
"64","Mauretania Tingitana",1,1,1,2,-0.111987329856541
"65","Etruria (Regio VII)",1,1,1,2,-0.110442037729066
"66","Macedonia",1,1,1,2,-0.110430947598489
"67","Galatia",1,1,1,2,-0.105880022317185
"68","Sicilia",1,1,1,2,-0.0986689965350763
"69","Syria",1,1,1,2,-0.0977369947223478
"70","Sardinia",1,1,1,2,-0.0930741375952435
"71","Hispania Citerior",1,1,1,2,-0.0811616272189878
"72","Lusitania",1,1,1,2,-0.0443638080273082
"73","Africa Proconsularis",1,1,1,2,-0.0289844598379855
"74","Achaia",1,1,1,2,-0.0136593298907144
"75","Mauretania Caesariensis",1,1,1,2,-0.00926590400094132
"76","Apulia et Calabria (Regio II)",1,1,1,2,0.0150746630159304
