"","province","s_it","g_it","a_it","r_it","eci"
"1","Germania Superior",1,1,1,1,-1.64298574706472
"2","Lusitania",1,1,1,1,-1.42946850372029
"3","Germania Inferior",1,1,1,1,-1.34369822762521
"4","Aquitania",1,1,1,1,-1.15445986866935
"5","Transpadana (Regio XI)",1,1,1,1,-1.1493541371992
"6","Pannonia Superior",1,1,1,1,-1.0249913465712
"7","Narbonensis",1,1,1,1,-0.939087819529861
"8","Belgica",1,1,1,1,-0.937380442274728
"9","Britannia",1,1,1,1,-0.792725917575426
"10","Lugdunensis",1,1,1,1,-0.763463656283459
"11","Venetia et Histria (Regio X)",1,1,1,1,-0.736649143240458
"12","Moesia Superior",1,1,1,1,-0.591927378228178
"13","Dalmatia",1,1,1,1,-0.574481261431944
"14","Hispania Citerior",1,1,1,1,-0.51436929702245
"15","Sardinia",1,1,1,1,-0.456373064927235
"16","Aemilia (Regio VIII)",1,1,1,1,-0.450852601163916
"17","Moesia Inferior",1,1,1,1,-0.37390912073085
"18","Raetia",1,1,1,1,-0.300382765950874
"19","Noricum",1,1,1,1,-0.24966827394918
"20","Apulia et Calabria (Regio II)",1,1,1,1,-0.239512236693461
"21","Pannonia Inferior",1,1,1,1,-0.18481450099899
"22","Umbria (Regio VI)",1,1,1,1,-0.0350920242563806
"23","Mauretania Tingitana",1,1,1,1,-0.0205289177655436
"24","Galatia",1,1,1,1,0.191964638399559
"25","Liguria (Regio IX)",1,1,1,1,0.19541926894928
"26","Samnium (Regio IV)",1,1,1,1,0.246878271850163
"27","Syria",1,1,1,1,0.378703437442944
"28","Etruria (Regio VII)",1,1,1,1,0.445528427617398
"29","Bruttium et Lucania (Regio III)",1,1,1,1,0.552264233535597
"30","Numidia",1,1,1,1,0.592855160936801
"31","Picenum (Regio V)",1,1,1,1,0.611040565081143
"32","Mauretania Caesariensis",1,1,1,1,0.671366076976261
"33","Achaia",1,1,1,1,0.774656276694594
"34","Asia",1,1,1,1,1.05741636798531
"35","Dacia",1,1,1,1,1.10800601961825
