"","intersection_ID","country","province","prop_intersection_area","province_rural_pop_min","province_rural_pop_max","intersection_rural_pop_min","intersection_rural_pop_max","intersection_urban_pop","intersection_tot_pop_min","intersection_tot_pop_max"
"1","1_GRC_Achaia","GRC","Achaia",1,161800.488754113,240545.329354262,161800.488754113,240545.329354262,755430,917230.488754113,995975.329354262
"2","2_EGY_Aegyptus","EGY","Aegyptus",0.99549088027038,4013794,5013794,3995695.32228397,4991186.20255435,986206,4981901.32228397,5977392.20255435
"3","3_SDN_Aegyptus","SDN","Aegyptus",3.98652102872326e-05,4013794,5013794,160.010741859632,199.875952146865,0,160.010741859632,199.875952146865
"4","4_NA_Aegyptus",NA,"Aegyptus",0.00446925451933244,4013794,5013794,17938.6669741694,22407.9214935019,0,17938.6669741694,22407.9214935019
"5","5_ITA_Aemilia_(Regio_VIII)","ITA","Aemilia (Regio VIII)",1,727733.410942178,805095.211970444,727733.410942178,805095.211970444,80819,808552.410942178,885914.211970444
"6","6_DZA_Africa_Proconsularis","DZA","Africa Proconsularis",0.000422255147393506,1729053.16426938,2016421.85615037,730.101598729774,851.444508076261,0,730.101598729774,851.444508076261
"7","7_TUN_Africa_Proconsularis","TUN","Africa Proconsularis",0.347744715389798,1729053.16426938,2016421.85615037,601269.100502684,701200.044472778,414777,1016046.10050268,1115977.04447278
"8","8_LBY_Africa_Proconsularis","LBY","Africa Proconsularis",0.651833029462809,1729053.16426938,2016421.85615037,1127053.96216797,1314370.36716952,168768,1295821.96216797,1483138.36716952
"9","9_FRA_Alpes_Cottiae","FRA","Alpes Cottiae",0.539187879979716,100120.71996634,138388.582875093,53983.8787406939,74617.4466138184,0,53983.8787406939,74617.4466138184
"10","10_ITA_Alpes_Cottiae","ITA","Alpes Cottiae",0.460812120020284,100120.71996634,138388.582875093,46136.8412256465,63771.1362612742,1000,47136.8412256465,64771.1362612742
"11","11_CHE_Alpes_Graiae","CHE","Alpes Graiae",0.0191687738001829,36634.4339742767,50636.7453593593,702.237178150644,970.644317771017,0,702.237178150644,970.644317771017
"12","12_FRA_Alpes_Graiae","FRA","Alpes Graiae",0.597223023564501,36634.4339742767,50636.7453593593,21878.9274246916,30241.4301669822,0,21878.9274246916,30241.4301669822
"13","13_ITA_Alpes_Graiae","ITA","Alpes Graiae",0.383608202635316,36634.4339742767,50636.7453593593,14053.2693714344,19424.670874606,0,14053.2693714344,19424.670874606
"14","14_FRA_Alpes_Maritimae","FRA","Alpes Maritimae",0.826959181669715,67669.3669343301,93533.764012533,55959.8043041213,77348.6049462926,1989,57948.8043041213,79337.6049462926
"15","15_ITA_Alpes_Maritimae","ITA","Alpes Maritimae",0.171618730182322,67669.3669343301,93533.764012533,11613.3308255113,16052.1458090039,2601,14214.3308255113,18653.1458090039
"16","16_MCO_Alpes_Maritimae","MCO","Alpes Maritimae",0.00142208814796242,67669.3669343301,93533.764012533,96.2318046974311,133.013257236537,0,96.2318046974311,133.013257236537
"17","17_CHE_Alpes_Poeninae","CHE","Alpes Poeninae",0.940411019343117,38670.737256556,53451.3588143292,36366.3874421877,50266.246827858,2601,38967.3874421877,52867.246827858
"18","18_FRA_Alpes_Poeninae","FRA","Alpes Poeninae",0.0595889806568826,38670.737256556,53451.3588143292,2304.34981436831,3185.11198647115,0,2304.34981436831,3185.11198647115
"19","19_ITA_Apulia_et_Calabria_(Regio_II)","ITA","Apulia et Calabria (Regio II)",1,836032.632397507,924907.197160087,836032.632397507,924907.197160087,127297,963329.632397507,1052204.19716009
"20","20_FRA_Aquitania","FRA","Aquitania",0.992919219363976,1752481.8553283,2422310.59220039,1740072.9157421,2405158.7422647,247040,1987112.9157421,2652198.7422647
"21","21_ESP_Aquitania","ESP","Aquitania",0.00708078063602455,1752481.8553283,2422310.59220039,12408.939586193,17151.8499356897,0,12408.939586193,17151.8499356897
"22","22_SYR_Arabia","SYR","Arabia",0.0735608789685197,1514433.24497968,1880220.08727517,111403.040639853,138310.642274228,29001,140404.040639853,167311.642274228
"23","23_EGY_Arabia","EGY","Arabia",0.553838469519021,1514433.24497968,1880220.08727517,838751.390588269,1041338.2154954,0,838751.390588269,1041338.2154954
"24","24_JOR_Arabia","JOR","Arabia",0.256999669819655,1514433.24497968,1880220.08727517,389208.843923685,483215.941618,73763,462971.843923685,556978.941617999
"25","25_PSE_Arabia","PSE","Arabia",0.000157037391708165,1514433.24497968,1880220.08727517,237.822646707741,295.26485834299,0,237.822646707741,295.26485834299
"26","26_ISR_Arabia","ISR","Arabia",0.115443944301096,1514433.24497968,1880220.08727517,174832.147181162,217060.023029196,5837,180669.147181162,222897.023029196
"27","27_TUR_Asia","TUR","Asia",0.999998967409954,1743479.13974919,1968901.40456595,1743477.33944999,1968899.37149796,814457,2557934.33944999,2783356.37149796
"28","28_GRC_Asia","GRC","Asia",1.03259004597009e-06,1743479.13974919,1968901.40456595,1.80029920506151,2.03306799185133,76776,76777.8002992051,76778.0330679919
"29","29_PRT_Baetica","PRT","Baetica",0.0188398264351863,887916.457007191,1154794.57946534,16728.191938961,21756.1294454209,0,16728.191938961,21756.1294454209
"30","30_ESP_Baetica","ESP","Baetica",0.981082189065882,887916.457007191,1154794.57946534,871119.021348237,1132948.39394327,157061,1028180.02134824,1290009.39394327
"31","31_GIB_Baetica","GIB","Baetica",7.7984498931625e-05,887916.457007191,1154794.57946534,69.2437199928495,90.0560766485609,0,69.2437199928495,90.0560766485609
"32","32_LUX_Belgica","LUX","Belgica",0.022711599414409,929688.875559349,1285031.96987247,21114.7213217362,29185.1313344524,0,21114.7213217362,29185.1313344524
"33","33_FRA_Belgica","FRA","Belgica",0.734420331707179,929688.875559349,1285031.96987247,682782.412372771,943753.60556807,118866,801648.412372771,1062619.60556807
"34","34_DEU_Belgica","DEU","Belgica",0.101002198979656,929688.875559349,1285031.96987247,93900.6207984176,129791.054716278,29210,123110.620798418,159001.054716278
"35","35_BEL_Belgica","BEL","Belgica",0.134109765383662,929688.875559349,1285031.96987247,124680.356981065,172335.335990102,0,124680.356981065,172335.335990102
"36","36_NLD_Belgica","NLD","Belgica",0.00775610451509515,929688.875559349,1285031.96987247,7210.7640853596,9966.84226356949,0,7210.7640853596,9966.84226356949
"37","37_TUR_Bithynia_et_Pontus","TUR","Bithynia et Pontus",1,955218.052082327,1078722.49316513,955218.052082327,1078722.49316513,99866,1055084.05208233,1178588.49316513
"38","38_GBR_Britannia","GBR","Britannia",1,1314902,1814902,1314902,1814902,185098,1500000,2e+06
"39","39_ITA_Bruttium_et_Lucania_(Regio_III)","ITA","Bruttium et Lucania (Regio III)",1,817893.3211571,904839.583926297,817893.3211571,904839.583926297,65522,883415.3211571,970361.583926297
"40","40_TUR_Cappadocia","TUR","Cappadocia",1,2524328.11501576,2850709.8581947,2524328.11501576,2850709.8581947,16881,2541209.11501576,2867590.8581947
"41","41_TUR_Cilicia","TUR","Cilicia",1,582505.293833719,657820.024942366,582505.293833719,657820.024942366,94258,676763.293833719,752078.024942366
"42","42_FRA_Corsica","FRA","Corsica",1,272142.471115187,301072.61419395,272142.471115187,301072.61419395,2000,274142.471115187,303072.61419395
"43","43_GRC_Creta","GRC","Creta",1,34296.5935296349,50988.0127670848,34296.5935296349,50988.0127670848,100581,134877.593529635,151569.012767085
"44","44_CYP_Cyprus","CYP","Cyprus",1,158122.236178641,196314.103440022,158122.236178641,196314.103440022,54269,212391.236178641,250583.103440022
"45","45_EGY_Cyrene","EGY","Cyrene",0.20219845799857,2188128.44114675,2551795.45890768,442436.196702687,515969.106918885,0,442436.196702687,515969.106918885
"46","46_LBY_Cyrene","LBY","Cyrene",0.79780154200143,2188128.44114675,2551795.45890768,1745692.24444407,2035826.35198879,116774,1862466.24444407,2152600.35198879
"47","47_SRB_Dacia","SRB","Dacia",0.0852102802712237,1045980.95698434,1271975.74798706,89128.3305029983,108385.409984177,0,89128.3305029983,108385.409984177
"48","48_BGR_Dacia","BGR","Dacia",0.000839557888948848,1045980.95698434,1271975.74798706,878.161564126468,1067.89727377415,0,878.161564126468,1067.89727377415
"49","49_HUN_Dacia","HUN","Dacia",0.00322159048675117,1045980.95698434,1271975.74798706,3369.72230034364,4097.78496909333,0,3369.72230034364,4097.78496909333
"50","50_ROU_Dacia","ROU","Dacia",0.910728571353076,1045980.95698434,1271975.74798706,952604.742616871,1158424.65576002,72425,1025029.74261687,1230849.65576002
"51","51_SRB_Dalmatia","SRB","Dalmatia",0.143051072005685,876997.607515997,1066481.83253658,125455.447901585,152561.369418946,1000,126455.447901585,153561.369418946
"52","52_SVN_Dalmatia","SVN","Dalmatia",2.19978674100108e-05,876997.607515997,1066481.83253658,19.2920770890336,23.460325947325,0,19.2920770890336,23.460325947325
"53","53_BIH_Dalmatia","BIH","Dalmatia",0.433332348437908,876997.607515997,1066481.83253658,380031.432839333,462141.07705944,12000,392031.432839333,474141.07705944
"54","54_MNE_Dalmatia","MNE","Dalmatia",0.150933726705613,876997.607515997,1066481.83253658,132368.517214296,160968.077448578,8086,140454.517214296,169054.077448578
"55","55_HRV_Dalmatia","HRV","Dalmatia",0.200975834363035,876997.607515997,1066481.83253658,176255.325904913,214337.076127058,74277,250532.325904913,288614.076127058
