"","province","m","l_it","s_it","g_it","a_it","r_it","eci"
"1","Bithynia et Pontus","r_0","1","1","1","1","1",-1.96424101056615
"2","Creta","r_0","1","1","1","1","1",-0.98215574248949
"3","Macedonia","r_0","1","1","1","1","1",-0.587541065067023
"4","Asia","r_0","1","1","1","1","1",-0.469945276625724
"5","Thracia","r_0","1","1","1","1","1",-0.468337194792034
"6","Africa Proconsularis","r_0","1","1","1","1","1",-0.463411229455891
"7","Numidia","r_0","1","1","1","1","1",-0.430652847955131
"8","Mauretania Tingitana","r_0","1","1","1","1","1",-0.401687487381728
"9","Arabia","r_0","1","1","1","1","1",-0.387617981810634
"10","Sicilia","r_0","1","1","1","1","1",-0.384743787815599
"11","Achaia","r_0","1","1","1","1","1",-0.375914905356853
"12","Pannonia Inferior","r_0","1","1","1","1","1",-0.375673421972055
"13","Aegyptus","r_0","1","1","1","1","1",-0.339039004624548
"14","Moesia Inferior","r_0","1","1","1","1","1",-0.321660395100245
"15","Dacia","r_0","1","1","1","1","1",-0.290791704079655
"16","Iudaea","r_0","1","1","1","1","1",-0.255253272675788
"17","Cilicia","r_0","1","1","1","1","1",-0.218858561559813
"18","Noricum","r_0","1","1","1","1","1",-0.20758108951277
"19","Syria","r_0","1","1","1","1","1",-0.184601818091758
"20","Pannonia Superior","r_0","1","1","1","1","1",-0.177709285923545
"21","Epirus","r_0","1","1","1","1","1",-0.162165645664708
"22","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","1",-0.155005190842735
"23","Liguria (Regio IX)","r_0","1","1","1","1","1",-0.146315577987204
"24","Raetia","r_0","1","1","1","1","1",-0.118573433694697
"25","Britannia","r_0","1","1","1","1","1",-0.108541515276878
"26","Moesia Superior","r_0","1","1","1","1","1",-0.101670898441915
"27","Cappadocia","r_0","1","1","1","1","1",-0.0989096710385492
"28","Galatia","r_0","1","1","1","1","1",-0.0866108910468357
"29","Sardinia","r_0","1","1","1","1","1",-0.0846239565358615
"30","Alpes Graiae","r_0","1","1","1","1","1",-0.0815728490826812
"31","Alpes Maritimae","r_0","1","1","1","1","1",-0.0808749015685748
"32","Alpes Cottiae","r_0","1","1","1","1","1",-0.0547788694537238
"33","Corsica","r_0","1","1","1","1","1",-0.0498251966673763
"34","Etruria (Regio VII)","r_0","1","1","1","1","1",-0.0339432399792972
"35","Lusitania","r_0","1","1","1","1","1",-0.0316020490389113
"36","Cyrene","r_0","1","1","1","1","1",-0.0242348646519424
"37","Picenum (Regio V)","r_0","1","1","1","1","1",0.00545716288091004
"38","Dalmatia","r_0","1","1","1","1","1",0.0065555888551527
"39","Aquitania","r_0","1","1","1","1","1",0.0358123788754374
"40","Lugdunensis","r_0","1","1","1","1","1",0.0940095899174679
"41","Umbria (Regio VI)","r_0","1","1","1","1","1",0.106216995714174
"42","Aemilia (Regio VIII)","r_0","1","1","1","1","1",0.112809457162061
"43","Mauretania Caesariensis","r_0","1","1","1","1","1",0.126105186138332
"44","Transpadana (Regio XI)","r_0","1","1","1","1","1",0.132244913684744
"45","Germania Inferior","r_0","1","1","1","1","1",0.132507376499663
"46","Samnium (Regio IV)","r_0","1","1","1","1","1",0.145990715348678
"47","Hispania Citerior","r_0","1","1","1","1","1",0.215438411762198
"48","Baetica","r_0","1","1","1","1","1",0.243328976142469
"49","Apulia et Calabria (Regio II)","r_0","1","1","1","1","1",0.380164692871998
"50","Belgica","r_0","1","1","1","1","1",0.43045638338209
"51","Germania Superior","r_0","1","1","1","1","1",0.460416355733962
"52","Venetia et Histria (Regio X)","r_0","1","1","1","1","1",0.598138392065099
"53","Narbonensis","r_0","1","1","1","1","1",0.870274220902767
"54","Latium et Campania (Regio I)","r_0","1","1","1","1","1",6.61073903589112
"55","Bithynia et Pontus","r_0","1","1","1","1","2",-1.82245752928899
"56","Creta","r_0","1","1","1","1","2",-0.897365742963566
"57","Asia","r_0","1","1","1","1","2",-0.772743766624887
"58","Macedonia","r_0","1","1","1","1","2",-0.548293698957453
"59","Thracia","r_0","1","1","1","1","2",-0.44929496970631
"60","Africa Proconsularis","r_0","1","1","1","1","2",-0.422975025981036
"61","Mauretania Tingitana","r_0","1","1","1","1","2",-0.386720520428885
"62","Numidia","r_0","1","1","1","1","2",-0.38268717473913
"63","Arabia","r_0","1","1","1","1","2",-0.366833324285617
"64","Sicilia","r_0","1","1","1","1","2",-0.358015374687638
"65","Pannonia Inferior","r_0","1","1","1","1","2",-0.35498581960894
"66","Achaia","r_0","1","1","1","1","2",-0.33858347312549
"67","Moesia Inferior","r_0","1","1","1","1","2",-0.311743571347601
"68","Aegyptus","r_0","1","1","1","1","2",-0.3017420370719
"69","Dacia","r_0","1","1","1","1","2",-0.295324746287792
"70","Iudaea","r_0","1","1","1","1","2",-0.218428049113556
"71","Noricum","r_0","1","1","1","1","2",-0.206195104392934
"72","Cilicia","r_0","1","1","1","1","2",-0.189439505138119
"73","Pannonia Superior","r_0","1","1","1","1","2",-0.185072762362268
"74","Syria","r_0","1","1","1","1","2",-0.178511877030267
"75","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","2",-0.1613323095667
"76","Epirus","r_0","1","1","1","1","2",-0.158412402036945
"77","Liguria (Regio IX)","r_0","1","1","1","1","2",-0.1468090802583
"78","Etruria (Regio VII)","r_0","1","1","1","1","2",-0.12085789892028
"79","Britannia","r_0","1","1","1","1","2",-0.114972499196669
"80","Raetia","r_0","1","1","1","1","2",-0.104040539160236
"81","Moesia Superior","r_0","1","1","1","1","2",-0.0964167791427647
"82","Galatia","r_0","1","1","1","1","2",-0.0897035418518691
"83","Cappadocia","r_0","1","1","1","1","2",-0.0894137937839749
"84","Sardinia","r_0","1","1","1","1","2",-0.0825628421698833
"85","Alpes Maritimae","r_0","1","1","1","1","2",-0.0806448900896558
"86","Alpes Graiae","r_0","1","1","1","1","2",-0.0718372390719161
"87","Alpes Cottiae","r_0","1","1","1","1","2",-0.0543518870758585
"88","Corsica","r_0","1","1","1","1","2",-0.0492876119868042
"89","Cyrene","r_0","1","1","1","1","2",-0.0383748322865987
"90","Lusitania","r_0","1","1","1","1","2",-0.02550739286562
"91","Picenum (Regio V)","r_0","1","1","1","1","2",-0.0091556690964881
"92","Dalmatia","r_0","1","1","1","1","2",0.0164370679044584
"93","Aquitania","r_0","1","1","1","1","2",0.0240027356135967
"94","Umbria (Regio VI)","r_0","1","1","1","1","2",0.082289567853993
"95","Lugdunensis","r_0","1","1","1","1","2",0.0896697760425911
"96","Transpadana (Regio XI)","r_0","1","1","1","1","2",0.0941127975997541
"97","Aemilia (Regio VIII)","r_0","1","1","1","1","2",0.097567362886776
"98","Mauretania Caesariensis","r_0","1","1","1","1","2",0.117803235618025
"99","Samnium (Regio IV)","r_0","1","1","1","1","2",0.125865687283881
"100","Germania Inferior","r_0","1","1","1","1","2",0.132931665520033
"101","Hispania Citerior","r_0","1","1","1","1","2",0.193197113078718
"102","Baetica","r_0","1","1","1","1","2",0.222053842174336
"103","Apulia et Calabria (Regio II)","r_0","1","1","1","1","2",0.374596951027672
"104","Belgica","r_0","1","1","1","1","2",0.42429557371866
"105","Germania Superior","r_0","1","1","1","1","2",0.42826220316099
"106","Venetia et Histria (Regio X)","r_0","1","1","1","1","2",0.578557513751486
"107","Narbonensis","r_0","1","1","1","1","2",0.808225763325672
"108","Latium et Campania (Regio I)","r_0","1","1","1","1","2",6.6712264251423
"109","Bithynia et Pontus","r_0","1","1","1","1","3",-1.79832064794725
"110","Creta","r_0","1","1","1","1","3",-0.88569019920211
"111","Asia","r_0","1","1","1","1","3",-0.751001213935387
"112","Macedonia","r_0","1","1","1","1","3",-0.53491642579738
"113","Thracia","r_0","1","1","1","1","3",-0.443804394398398
"114","Africa Proconsularis","r_0","1","1","1","1","3",-0.405529821676773
"115","Mauretania Tingitana","r_0","1","1","1","1","3",-0.380729406247247
"116","Numidia","r_0","1","1","1","1","3",-0.367824716369659
"117","Arabia","r_0","1","1","1","1","3",-0.362307067256725
"118","Pannonia Inferior","r_0","1","1","1","1","3",-0.348165916903431
"119","Sicilia","r_0","1","1","1","1","3",-0.343847020791307
"120","Achaia","r_0","1","1","1","1","3",-0.324694233480702
"121","Moesia Inferior","r_0","1","1","1","1","3",-0.310237890029885
"122","Aegyptus","r_0","1","1","1","1","3",-0.297373523597163
"123","Dacia","r_0","1","1","1","1","3",-0.291244213769497
"124","Iudaea","r_0","1","1","1","1","3",-0.214824526697193
"125","Noricum","r_0","1","1","1","1","3",-0.202167744612668
"126","Cilicia","r_0","1","1","1","1","3",-0.186652929177338
"127","Pannonia Superior","r_0","1","1","1","1","3",-0.185970094614021
"128","Syria","r_0","1","1","1","1","3",-0.175760486395329
"129","Epirus","r_0","1","1","1","1","3",-0.157346183449741
"130","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","3",-0.155199935496117
"131","Liguria (Regio IX)","r_0","1","1","1","1","3",-0.147458497218054
"132","Britannia","r_0","1","1","1","1","3",-0.138714001434199
"133","Raetia","r_0","1","1","1","1","3",-0.115556727060504
"134","Etruria (Regio VII)","r_0","1","1","1","1","3",-0.113347062123568
"135","Moesia Superior","r_0","1","1","1","1","3",-0.0984267883830429
"136","Cappadocia","r_0","1","1","1","1","3",-0.0880521775120286
"137","Galatia","r_0","1","1","1","1","3",-0.0862882915471913
"138","Alpes Maritimae","r_0","1","1","1","1","3",-0.0802976188683058
"139","Sardinia","r_0","1","1","1","1","3",-0.079814373502737
"140","Alpes Graiae","r_0","1","1","1","1","3",-0.0709585161828993
"141","Alpes Cottiae","r_0","1","1","1","1","3",-0.0537131817866319
"142","Corsica","r_0","1","1","1","1","3",-0.0485843841867183
"143","Cyrene","r_0","1","1","1","1","3",-0.0379103937174914
"144","Dalmatia","r_0","1","1","1","1","3",-0.0192665512844719
"145","Lusitania","r_0","1","1","1","1","3",-0.0138482143970677
"146","Picenum (Regio V)","r_0","1","1","1","1","3",-0.0062457169810748
"147","Aquitania","r_0","1","1","1","1","3",-0.00133494439512835
"148","Lugdunensis","r_0","1","1","1","1","3",0.0726120152335001
"149","Umbria (Regio VI)","r_0","1","1","1","1","3",0.0900360189946305
"150","Transpadana (Regio XI)","r_0","1","1","1","1","3",0.0917497555435151
"151","Aemilia (Regio VIII)","r_0","1","1","1","1","3",0.0961803856899012
"152","Germania Inferior","r_0","1","1","1","1","3",0.113698899337396
"153","Mauretania Caesariensis","r_0","1","1","1","1","3",0.115017040075689
"154","Samnium (Regio IV)","r_0","1","1","1","1","3",0.134264098492956
"155","Hispania Citerior","r_0","1","1","1","1","3",0.189319047004993
"156","Baetica","r_0","1","1","1","1","3",0.244505004826734
"157","Belgica","r_0","1","1","1","1","3",0.370263105402388
"158","Apulia et Calabria (Regio II)","r_0","1","1","1","1","3",0.371773011082943
"159","Germania Superior","r_0","1","1","1","1","3",0.395817610676037
"160","Venetia et Histria (Regio X)","r_0","1","1","1","1","3",0.571450465346639
"161","Narbonensis","r_0","1","1","1","1","3",0.768132995136211
"162","Latium et Campania (Regio I)","r_0","1","1","1","1","3",6.6986065795829
"163","Bithynia et Pontus","r_0","1","1","1","1","4",-1.81085639855715
"164","Creta","r_0","1","1","1","1","4",-0.892894670844214
"165","Asia","r_0","1","1","1","1","4",-0.75655967692032
"166","Macedonia","r_0","1","1","1","1","4",-0.538821307404806
"167","Thracia","r_0","1","1","1","1","4",-0.446030865945809
"168","Africa Proconsularis","r_0","1","1","1","1","4",-0.406323519409426
"169","Mauretania Tingitana","r_0","1","1","1","1","4",-0.380561168368137
"170","Numidia","r_0","1","1","1","1","4",-0.366319431966791
"171","Arabia","r_0","1","1","1","1","4",-0.362099420768432
"172","Sicilia","r_0","1","1","1","1","4",-0.346883995760934
"173","Pannonia Inferior","r_0","1","1","1","1","4",-0.34336870998157
"174","Achaia","r_0","1","1","1","1","4",-0.328688387588724
"175","Moesia Inferior","r_0","1","1","1","1","4",-0.306688863810155
"176","Aegyptus","r_0","1","1","1","1","4",-0.283909270682886
"177","Dacia","r_0","1","1","1","1","4",-0.283171196999288
"178","Iudaea","r_0","1","1","1","1","4",-0.216619639535954
"179","Noricum","r_0","1","1","1","1","4",-0.198518321945309
"180","Cilicia","r_0","1","1","1","1","4",-0.186617602317703
"181","Pannonia Superior","r_0","1","1","1","1","4",-0.183242242956022
"182","Syria","r_0","1","1","1","1","4",-0.173112769295958
"183","Epirus","r_0","1","1","1","1","4",-0.15824090518553
"184","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","4",-0.152082087180206
"185","Liguria (Regio IX)","r_0","1","1","1","1","4",-0.145226721068381
"186","Britannia","r_0","1","1","1","1","4",-0.141451961083947
"187","Raetia","r_0","1","1","1","1","4",-0.115205608825179
"188","Etruria (Regio VII)","r_0","1","1","1","1","4",-0.111639333862591
"189","Moesia Superior","r_0","1","1","1","1","4",-0.0948757292504238
"190","Cappadocia","r_0","1","1","1","1","4",-0.085858035313557
"191","Galatia","r_0","1","1","1","1","4",-0.0812274072977116
"192","Alpes Maritimae","r_0","1","1","1","1","4",-0.0784315976951652
"193","Sardinia","r_0","1","1","1","1","4",-0.0742977524795499
"194","Alpes Graiae","r_0","1","1","1","1","4",-0.0689582496065894
"195","Alpes Cottiae","r_0","1","1","1","1","4",-0.0511938196203726
"196","Corsica","r_0","1","1","1","1","4",-0.0469023231680811
"197","Cyrene","r_0","1","1","1","1","4",-0.0323537832446571
"198","Dalmatia","r_0","1","1","1","1","4",-0.0317494318758225
"199","Lusitania","r_0","1","1","1","1","4",-0.0113994124675972
