"","province","m","l_it","s_it","g_it","a_it","r_it","eci"
"1","Achaia","r_0","1","1","1","1","1",-2.43188338836654
"2","Bithynia et Pontus","r_0","1","1","1","1","1",-2.19591596090942
"3","Creta","r_0","1","1","1","1","1",-1.8680087968697
"4","Macedonia","r_0","1","1","1","1","1",-1.7858163235709
"5","Sicilia","r_0","1","1","1","1","1",-1.27715858326909
"6","Aegyptus","r_0","1","1","1","1","1",-1.07766770241933
"7","Arabia","r_0","1","1","1","1","1",-1.01007911423838
"8","Iudaea","r_0","1","1","1","1","1",-0.864576556756612
"9","Thracia","r_0","1","1","1","1","1",-0.790851696626061
"10","Baetica","r_0","1","1","1","1","1",-0.724594659963836
"11","Cilicia","r_0","1","1","1","1","1",-0.658624181725999
"12","Numidia","r_0","1","1","1","1","1",-0.611489343161993
"13","Mauretania Tingitana","r_0","1","1","1","1","1",-0.513616378407704
"14","Epirus","r_0","1","1","1","1","1",-0.316153581032213
"15","Alpes Graiae","r_0","1","1","1","1","1",-0.254239985091345
"16","Raetia","r_0","1","1","1","1","1",-0.224170960632582
"17","Africa Proconsularis","r_0","1","1","1","1","1",-0.214611947584649
"18","Dacia","r_0","1","1","1","1","1",-0.192848310589134
"19","Bruttium et Lucania (Regio III)","r_0","1","1","1","1","1",-0.136885493903476
"20","Syria","r_0","1","1","1","1","1",-0.107023342374133
"21","Asia","r_0","1","1","1","1","1",-0.0797150353060002
"22","Corsica","r_0","1","1","1","1","1",-0.0663746927357331
"23","Dalmatia","r_0","1","1","1","1","1",-0.0645353049397194
"24","Moesia Superior","r_0","1","1","1","1","1",-0.0634505614157323
"25","Cappadocia","r_0","1","1","1","1","1",-0.0383476604696551
"26","Galatia","r_0","1","1","1","1","1",-0.0183611592512473
"27","Alpes Maritimae","r_0","1","1","1","1","1",-0.011924370547294
"28","Pannonia Inferior","r_0","1","1","1","1","1",-0.0106167084930269
"29","Alpes Cottiae","r_0","1","1","1","1","1",0.0594885080024649
