"","province","macroregion","area","macroregion_area","area_proportion","urban_pop","macroregion_tot_pop_min","macroregion_tot_pop_max","macroregion_urban_pop","macroregion_rural_pop_min","macroregion_rural_pop_max","rural_pop_max","rural_pop_min","tot_pop_min","tot_pop_max"
"1","Aemilia (Regio VIII)","Italy and islands",23289989471.2379,301052834366.262,0.0773618010282647,80819,1.2e+07,1.3e+07,2593117,9406883,10406883,805095.21197043,727733.410942165,808552.410942165,885914.21197043
"2","Apulia et Calabria (Regio II)","Italy and islands",26755939624.8487,301052834366.262,0.0888745647626001,127297,1.2e+07,1.3e+07,2593117,9406883,10406883,924907.197160302,836032.632397702,963329.632397702,1052204.1971603
"3","Bruttium et Lucania (Regio III)","Italy and islands",26175418844.2196,301052834366.262,0.0869462627691936,65522,1.2e+07,1.3e+07,2593117,9406883,10406883,904839.583926254,817893.32115706,883415.32115706,970361.583926254
"4","Corsica","Italy and islands",8709501572.487,301052834366.262,0.0289301430787759,2000,1.2e+07,1.3e+07,2593117,9406883,10406883,301072.614194081,272142.471115305,274142.471115305,303072.614194081
"5","Etruria (Regio VII)","Italy and islands",29379581085.1832,301052834366.262,0.0975894518549519,167546,1.2e+07,1.3e+07,2593117,9406883,10406883,1015602.00748862,918012.555633666,1085558.55563367,1183148.00748862
"6","Latium et Campania (Regio I)","Italy and islands",18111004963.7186,301052834366.262,0.06015889204911,1384701,1.2e+07,1.3e+07,2593117,9406883,10406883,626066.550964718,565907.658915608,1950608.65891561,2010767.55096472
"7","Liguria (Regio IX)","Italy and islands",13750171991.145,301052834366.262,0.0456736174568497,30599,1.2e+07,1.3e+07,2593117,9406883,10406883,475319.993060192,429646.375603342,460245.375603342,505918.993060192
"8","Picenum (Regio V)","Italy and islands",6409685683.7245,301052834366.262,0.0212908996429725,52403,1.2e+07,1.3e+07,2593117,9406883,10406883,221571.901549156,200281.001906184,252684.001906184,273974.901549156
"9","Samnium (Regio IV)","Italy and islands",13271368928.0853,301052834366.262,0.0440831887732348,53794,1.2e+07,1.3e+07,2593117,9406883,10406883,458768.587829968,414685.399056733,468479.399056733,512562.587829968
"10","Sardinia","Italy and islands",23792015929.1482,301052834366.262,0.0790293703071491,12377,1.2e+07,1.3e+07,2593117,9406883,10406883,822449.410350175,743420.040043026,755797.040043026,834826.410350175
"11","Sicilia","Italy and islands",25425922209.2891,301052834366.262,0.0844566777217445,304214,1.2e+07,1.3e+07,2593117,9406883,10406883,878930.763618901,794474.085897157,1098688.08589716,1183144.7636189
"12","Transpadana (Regio XI)","Italy and islands",18843556997.9973,301052834366.262,0.0625921926218177,77577,1.2e+07,1.3e+07,2593117,9406883,10406883,651389.62532872,588797.432706902,666374.432706902,728966.62532872
