"","province","urban_pop","rural_pop_min","rural_pop_max","tot_pop_min","tot_pop_max"
"Aemilia (Regio VIII)","Aemilia (Regio VIII)",80819,727733.410947037,805095.211975819,808552.410947037,885914.211975819
"Apulia et Calabria (Regio II)","Apulia et Calabria (Regio II)",127297,836032.632401145,924907.197164112,963329.632401145,1052204.19716411
"Bruttium et Lucania (Regio III)","Bruttium et Lucania (Regio III)",65522,817893.321165092,904839.583935139,883415.321165092,970361.583935139
"Corsica","Corsica",2000,272142.471085327,301072.614160916,274142.471085327,303072.614160916
"Etruria (Regio VII)","Etruria (Regio VII)",167546,918012.555635158,1015602.00749027,1085558.55563516,1183148.00749027
"Latium et Campania (Regio I)","Latium et Campania (Regio I)",1384701,565907.658918746,626066.55096819,1950608.65891875,2010767.55096819
"Liguria (Regio IX)","Liguria (Regio IX)",30599,429646.37561269,475319.993070533,460245.37561269,505918.993070533
"Picenum (Regio V)","Picenum (Regio V)",52403,200281.001907842,221571.90155099,252684.001907842,273974.90155099
"Samnium (Regio IV)","Samnium (Regio IV)",53794,414685.399059088,458768.587832573,468479.399059088,512562.587832573
"Sardinia","Sardinia",12377,743420.040032411,822449.410338432,755797.040032411,834826.410338432
"Sicilia","Sicilia",304214,794474.085895091,878930.763616616,1098688.08589509,1183144.76361662
"Transpadana (Regio XI)","Transpadana (Regio XI)",77577,588797.432709389,651389.625331471,666374.432709389,728966.625331471
"Umbria (Regio VI)","Umbria (Regio VI)",88640,385891.493803493,426913.742491341,474531.493803493,515553.742491341
"Venetia et Histria (Regio X)","Venetia et Histria (Regio X)",145628,1711965.12082749,1893955.8100736,1857593.12082749,2039583.8100736
"Baetica","Baetica",157061,887916.457007802,1154794.57946613,1044977.4570078,1311855.57946613
"Hispania Citerior","Hispania Citerior",131947,4391588.07145685,5711553.22118546,4523535.07145685,5843500.22118546
"Lusitania","Lusitania",56895,1374592.47153535,1787749.19934841,1431487.47153535,1844644.19934841
"Alpes Cottiae","Alpes Cottiae",1000,100120.719966137,138388.582874811,101120.719966137,139388.582874811
"Alpes Graiae","Alpes Graiae",0,36634.4339742021,50636.7453592561,36634.4339742021,50636.7453592561
"Alpes Maritimae","Alpes Maritimae",4590,67669.3669340499,93533.7640121458,72259.3669340499,98123.7640121458
"Alpes Poeninae","Alpes Poeninae",2601,38670.7372564822,53451.3588142271,41271.7372564822,56052.3588142271
"Aquitania","Aquitania",247040,1752481.85533255,2422310.59220628,1999521.85533255,2669350.59220628
"Belgica","Belgica",148076,929688.875557508,1285031.96986993,1077764.87555751,1433107.96986993
"Germania Inferior","Germania Inferior",60605,440251.523080148,608523.234832364,500856.523080148,669128.234832364
"Germania Superior","Germania Superior",92518,1013001.72582806,1400188.42587726,1105519.72582806,1492706.42587726
"Lugdunensis","Lugdunensis",355110,1643627.89978151,2271850.78074945,1998737.89978151,2626960.78074945
"Narbonensis","Narbonensis",218936,971378.621407605,1342656.25433929,1190314.6214076,1561592.25433929
"Raetia","Raetia",20584,855414.240881749,1182368.29106499,875998.240881749,1202952.29106499
"Britannia","Britannia",185098,1314902,1814902,1500000,2e+06
"Dacia","Dacia",72425,1045980.95698357,1271975.74798612,1118405.95698357,1344400.74798612
"Dalmatia","Dalmatia",102047,876997.607520614,1066481.8325422,979044.607520614,1168528.8325422
"Moesia Inferior","Moesia Inferior",32642,616018.440394954,749115.470279951,648660.440394954,781757.470279951
"Moesia Superior","Moesia Superior",39572,546834.931669827,664984.163040166,586406.931669827,704556.163040166
"Noricum","Noricum",30347,589957.172082206,717423.400711905,620304.172082206,747770.400711905
"Pannonia Inferior","Pannonia Inferior",39465,274542.722011455,333860.460702587,314007.722011455,373325.460702587
"Pannonia Superior","Pannonia Superior",55161,678009.169337378,824499.924737073,733170.169337378,879660.924737073
"Achaia","Achaia",753140,161800.488754975,240545.329355544,914940.488754975,993685.329355544
"Creta","Creta",100581,34296.5935291579,50988.0127663757,134877.593529158,151569.012766376
"Epirus","Epirus",129500,100247.186168495,149035.349642142,229747.186168495,278535.349642142
"Macedonia","Macedonia",327733,335060.236300533,498126.893899014,662793.236300533,825859.893899014
"Thracia","Thracia",161674,395967.495246838,588676.414336924,557641.495246838,750350.414336924
"Asia","Asia",894523,1743479.13975202,1968901.40456914,2638002.13975202,2863424.40456914
"Bithynia et Pontus","Bithynia et Pontus",99866,955218.052077443,1078722.49315961,1055084.05207744,1178588.49315961
"Cappadocia","Cappadocia",16881,2524328.11501482,2850709.85819364,2541209.11501482,2867590.85819364
"Cilicia","Cilicia",94258,582505.293836636,657820.024945661,676763.293836636,752078.024945661
"Lycia et Pamphylia","Lycia et Pamphylia",103491,359042.723320885,405464.972954805,462533.723320885,508955.972954805
"Galatia","Galatia",56700,1569707.67599819,1772662.24617714,1626407.67599819,1829362.24617714
"Arabia","Arabia",108601,1514433.2449769,1880220.08727172,1623034.2449769,1988821.08727172
"Cyprus","Cyprus",54269,158122.236180758,196314.103442651,212391.236180758,250583.103442651
"Iudaea","Iudaea",206137,300092.763852563,372575.314568641,506229.763852563,578712.314568641
"Syria","Syria",490786,2167558.75498978,2691097.49471699,2658344.75498978,3181883.49471699
"Aegyptus","Aegyptus",986206,4013794,5013794,5e+06,6e+06
"Africa Proconsularis","Africa Proconsularis",583545,1729053.16427086,2016421.8561521,2312598.16427086,2599966.8561521
"Cyrene","Cyrene",116774,2188128.44114688,2551795.45890783,2304902.44114688,2668569.45890783
"Mauretania Caesariensis","Mauretania Caesariensis",111598,1167151.53128678,1361132.15357407,1278749.53128678,1472730.15357407
