"","iter","province","urb_pop_grand_total","rural_pop_min_grand_total","rural_pop_max_grand_total","tot_pop_min_grand_total","tot_pop_max_grand_total"
"1",1,"Achaia",531093030.930548,114097129.323211,169625764.191209,645190160.253759,700718795.121758
"2",1,"Aegyptus",628306011.3828,2557164424.7269,3194258511.94884,3185470436.1097,3822564523.33164
"3",1,"Aemilia (Regio VIII)",58041464.0835114,522633447.99578,578192069.060354,580674912.079292,636233533.143865
"4",1,"Africa Proconsularis",359075662.206349,1063946927.74334,1240774941.58038,1423022589.94969,1599850603.78673
"5",1,"Alpes Cottiae",574422.650817888,57511609.3648682,79493536.618052,58086032.0156861,80067959.2688699
"6",1,"Alpes Graiae",0,23029398.6255487,31831631.2680005,23029398.6255487,31831631.2680005
"7",1,"Alpes Maritimae",2636599.96725411,38870817.1335881,53727912.6650565,41507417.1008422,56364512.6323107
"8",1,"Alpes Poeninae",1633454.30292508,24285614.0595981,33567993.8686927,25919068.3625232,35201448.1716177
"9",1,"Apulia et Calabria (Regio II)",92171328.2843329,605342138.598267,669693118.471012,697513466.8826,761864446.755345
"10",1,"Aquitania",156946077.421787,1113362827.66623,1538909268.71416,1270308905.08802,1695855346.13595
"11",1,"Arabia",58615716.4940926,817392010.542814,1014819822.85819,876007727.036907,1073435539.35229
"12",1,"Asia",616072350.706182,1200762073.23066,1356014005.92236,1816834423.93684,1972086356.62854
"13",1,"Baetica",112617700.405274,636664159.403891,828024207.026849,749281859.809165,940641907.432123
"14",1,"Belgica",93627667.4320564,587837332.560084,812518881.620244,681464999.99214,906146549.0523
"15",1,"Bithynia et Pontus",33283714.5441761,318358650.320983,359520673.050824,351642364.865159,392804387.595
"16",1,"Britannia",83334725.427169,591994495.530127,817104235.849225,675329220.957296,900438961.276394
"17",1,"Bruttium et Lucania (Regio III)",48507281.2990584,605503211.165511,669871313.879823,654010492.46457,718378595.178881
"18",1,"Cappadocia",10241612.5446168,1531496385.84644,1729510446.34494,1541737998.39105,1739752058.88956
"19",1,"Cilicia",61818247.2450548,382030769.544889,431425247.13691,443849016.789944,493243494.381964
"20",1,"Corsica",1369017.78636393,186283941.690942,206086881.909391,187652959.477306,207455899.695755
"21",1,"Creta",33308196.0006204,11357589.002277,16885084.886084,44665785.0028974,50193280.8867044
"22",1,"Cyprus",35443394.2219834,103270536.625727,128213863.523567,138713930.84771,163657257.745551
"23",1,"Cyrene",38670636.4002789,724616090.437036,845047308.127673,763286726.837315,883717944.527951
"24",1,"Dacia",13153903.2143289,189972140.45154,231017547.531862,203126043.665869,244171450.746191
"25",1,"Dalmatia",65134352.4795739,559768256.702268,680711864.07741,624902609.181842,745846216.556983
"26",1,"Epirus",91319738.0374247,70691480.9262202,105095514.190812,162011218.963645,196415252.228237
"27",1,"Etruria (Regio VII)",124037742.323678,679623535.181919,751871009.205134,803661277.505597,875908751.528812
"28",1,"Galatia",35953838.9494615,995361851.509509,1124056665.09457,1031315690.45897,1160010504.04403
"29",1,"Germania Inferior",38097946.4479021,276754045.86803,382534206.960368,314851992.315932,420632153.40827
"30",1,"Germania Superior",58159323.6443693,636800354.794466,880196413.928999,694959678.438835,938355737.573368
"31",1,"Hispania Citerior",89571200.2934221,2981195591.82285,3877243723.31924,3070766792.11627,3966814923.61266
"32",1,"Iudaea",13674826.0299454,19907713.5038906,24716099.5348041,33582539.533836,38390925.5647496
"33",1,"Latium et Campania (Regio I)",1054626542.10983,431010909.557829,476829583.985674,1485637451.66766,1531456126.0955
"34",1,"Liguria (Regio IX)",21975163.7547033,308557451.566986,341358694.185501,330532615.32169,363333857.940205
"35",1,"Lugdunensis",225603633.230452,1044207219.93291,1443321197.08125,1269810853.16336,1668924830.3117
"36",1,"Lusitania",28235821.4002071,682182046.304472,887223255.143018,710417867.704679,915459076.543226
"37",1,"Lycia et Pamphylia",60981691.9974871,211564607.235975,238918747.489733,272546299.233462,299900439.48722
"38",1,"Macedonia",228337976.431504,233443004.944386,347054727.350869,461780981.37589,575392703.782373
