"","province","tot_pop_min","tot_pop_max","epitaphs","people_per_epitaph_min","people_per_epitaph_max"
"1","Achaia",914940.488754145,993685.329354309,225,4066.40217224064,4416.37924157471
"2","Aegyptus",5e+06,6e+06,98,51020.4081632653,61224.4897959184
"3","Aemilia (Regio VIII)",808552.410942165,885914.21197043,1364,592.780359928274,649.497222852221
"4","Africa Proconsularis",2312598.16426931,2599966.85615029,9880,234.06864010823,263.154540096184
"5","Alpes Cottiae",101120.719966353,139388.582875111,165,612.85284828093,844.779290152185
"6","Alpes Graiae",36634.4339742814,50636.7453593658,11,3330.40308857104,4603.34048721507
"7","Alpes Maritimae",72259.3669343332,98123.7640125374,284,254.434390613849,345.506211311751
"8","Alpes Poeninae",41271.737256561,56052.3588143361,43,959.807843175838,1303.54322824037
"9","Apulia et Calabria (Regio II)",963329.632397702,1052204.1971603,2949,326.66315103347,356.800338135063
"10","Aquitania",1999521.85532852,2669350.5922007,1000,1999.52185532852,2669.3505922007
"11","Arabia",1623034.24497972,1988821.08727522,66,24591.4279542382,30133.6528375034
"12","Asia",2638002.13974925,2863424.40456601,224,11776.7952667377,12783.1446632411
"13","Baetica",1044977.45700707,1311855.57946518,2985,350.076200002367,439.482606185988
"14","Belgica",1077764.8755595,1433107.96987268,2124,507.422257796373,674.721266418397
"15","Bithynia et Pontus",1055084.05208242,1178588.49316523,49,21532.3275935188,24052.8263911272
"16","Britannia",1500000,2e+06,713,2103.78681626928,2805.04908835905
"17","Bruttium et Lucania (Regio III)",883415.32115706,970361.583926254,661,1336.48308798345,1468.02055056922
"18","Cappadocia",2541209.11501571,2867590.85819464,43,59097.8863957142,66688.1594928987
"19","Cilicia",676763.293833655,752078.024942294,14,48340.2352738325,53719.8589244495
"20","Corsica",274142.471115305,303072.614194081,60,4569.04118525508,5051.21023656801
"21","Creta",134877.593529615,151569.012767055,7,19268.2276470879,21652.7161095793
"22","Cyprus",212391.236178653,250583.103440038,4,53097.8090446634,62645.7758600094
"23","Cyrene",2304902.44114674,2668569.45890766,6,384150.406857789,444761.57648461
"24","Dacia",1118405.95698431,1344400.74798703,985,1135.43751978103,1364.8738558244
"25","Dalmatia",979044.607516095,1168528.8325367,6216,157.503958738111,187.987263921606
"26","Epirus",229747.186169038,278535.349642949,86,2671.47890894231,3238.78313538313
"27","Etruria (Regio VII)",1085558.55563367,1183148.00748862,2406,451.188094610834,491.748964043482
"28","Galatia",1626407.67599865,1829362.24617766,157,10359.284560501,11651.9888291571
"29","Germania Inferior",500856.523077974,669128.23482936,823,608.57414711783,813.035522271398
"30","Germania Superior",1105519.72583039,1492706.42588048,2216,498.880742703245,673.603982798052
"31","Hispania Citerior",4523535.07145222,5843500.22117944,5118,883.848196844904,1141.75463485335
"32","Iudaea",506229.763854186,578712.314570656,42,12053.0896155758,13778.8646326347
"33","Latium et Campania (Regio I)",1950608.65891561,2010767.55096472,89590,21.7726159048511,22.4441070539649
"34","Liguria (Regio IX)",460245.375603342,505918.993060192,851,540.828878499815,594.499404301048
"35","Lugdunensis",1998737.89978474,2626960.78075392,1366,1463.20490467404,1923.10452471004
"36","Lusitania",1431487.47154072,1844644.19935539,3544,403.918586777854,520.497798915177
"37","Lycia et Pamphylia",462533.723320312,508955.972954158,16,28908.3577075195,31809.7483096349
"38","Macedonia",662793.236300153,825859.893898449,565,1173.08537398257,1461.69892725389
"39","Mauretania Caesariensis",1278749.53128719,1472730.15357455,4234,302.019256326686,347.834235610427
"40","Mauretania Tingitana",309892.334685707,358680.077414324,327,947.682980690237,1096.88097068601
"41","Moesia Inferior",648660.44039622,781757.47028149,834,777.770312225683,937.359077076127
"42","Moesia Superior",586406.931670404,704556.163040868,700,837.724188100577,1006.5088043441
"43","Narbonensis",1190314.62140372,1561592.25433392,3738,318.4362283049,417.761437756532
"44","Noricum",620304.172083536,747770.400713522,1783,347.899143064238,419.388895520764
"45","Numidia",793857.528611052,900053.453953175,15112,52.531599299302,59.5588574611683
"46","Pannonia Inferior",314007.722011637,373325.460702808,1248,251.608751611888,299.138990947763
"47","Pannonia Superior",733170.169337794,879660.924737578,1486,493.385039931221,591.965629029326
"48","Picenum (Regio V)",252684.001906184,273974.901549156,903,279.827244635862,303.405206588213
"49","Raetia",875998.240883634,1202952.2910676,355,2467.60067854545,3388.59800300731
"50","Samnium (Regio IV)",468479.399056733,512562.587829968,2563,182.785563424398,199.985402976968
"51","Sardinia",755797.040043026,834826.410350175,968,780.78206616015,862.423977634478
"52","Sicilia",1098688.08589716,1183144.7636189,1363,806.080767349345,868.044580791564
"53","Syria",2658344.75498744,3181883.49471408,130,20448.8058075957,24476.026882416
"54","Thracia",557641.495247049,750350.414337237,114,4891.5920635706,6582.02117839681
"55","Transpadana (Regio XI)",666374.432706902,728966.62532872,2102,317.019235350572,346.796681888069
"56","Umbria (Regio VI)",474531.493801746,515553.742489409,2316,204.892700259821,222.605242871075
"57","Venetia et Histria (Regio X)",1857593.1208234,2039583.81006908,6266,296.455972043314,325.500129280095
