"LIST-ID","occups_cats"
"445469","Managerial"
"445521","Miscellaneous Services"
"445530","Retail"
"445542","Performing Arts"
"445609","Managerial"
"445609","Unclassified"
"445616","Managerial"
"445630","Managerial"
"445706","Managerial"
"445709","Managerial"
"445710","Unclassified"
"445711","Managerial"
"445711","Unclassified"
"445713","Managerial"
"445846","Managerial"
"445905","Unclassified"
"445915","Unclassified"
"445919","Unclassified"
"445921","Managerial"
"445921","Unclassified"
"445922","Managerial"
"445922","Unclassified"
"445923","Managerial"
"445923","Unclassified"
"445924","Unclassified"
"445925","Managerial"
"445930","Managerial"
"445937","Managerial"
"445948","Managerial"
"445976","Managerial"
"445980","Managerial"
"445980","Unclassified"
"445981","Managerial"
"445982","Managerial"
"445984","Managerial"
"446181","Managerial"
"446252","Food-Production"
"446258","Managerial"
"446403","Performing Arts"
"446435","Miscellaneous Services"
"446435","Miscellaneous Services"
"446443","Miscellaneous Services"
"446526","Retail"
"446527","Building"
"446578","Unclassified"
"446596","Managerial"
"446599","Managerial"
"446675","Clothing"
"446675","Building"
"446676","Retail"
"446685","Retail"
"446687","Clothing"
"446688","Unclassified"
"446690","Metal-Working"
"446691","Retail"
"446698","Building"
"446698","Unclassified"
"446718","Household Goods"
"446719","Managerial"
"446729","Building"
"446730","Education"
"446751","Managerial"
"446751","Managerial"
"446761","Miscellaneous Services"
"446765","Unclassified"
"446785","Metal-Working"
"446785","Metal-Working"
"446800","Managerial"
"446800","Unclassified"
"446815","Education"
"446815","Education"
"446815","Unclassified"
"446815","Unclassified"
"446825","Household Goods"
"446825","Clothing"
"446825","Retail"
"446855","Unclassified"
"446861","Finance"
"446865","Miscellaneous Services"
"446865","Unclassified"
"447042","Building"
"447086","Building"
"447088","Managerial"
"447095","Managerial"
"447108","Managerial"
"447108","Managerial"
"447108","Managerial"
"447134","Education"
"447134","Education"
"447134","Education"
"447143","Metal-Working"
"447161","Managerial"
"447173","Managerial"
"447187","Managerial"
"447222","Miscellaneous Services"
"447228","Building"
"447228","Miscellaneous Services"
"447233","Building"
"447279","Managerial"
"447283","Miscellaneous Services"
"447399","Managerial"
"447399","Managerial"
"447466","Managerial"
"447467","Managerial"
"447468","Managerial"
"447470","Managerial"
"447470","Managerial"
"447475","Managerial"
"447485","Managerial"
"447491","Managerial"
"447519","Managerial"
"447526","Managerial"
"447531","Performing Arts"
"447575","Building"
"447609","Miscellaneous Services"
"447793","Finance"
"447794","Miscellaneous Services"
"447795","Miscellaneous Services"
"447795","Miscellaneous Services"
"447803","Miscellaneous Services"
"447862","Managerial"
"447871","Managerial"
"447875","Unclassified"
"447881","Clothing"
"447916","Miscellaneous Services"
"447968","Metal-Working"
"447969","Education"
"447997","Managerial"
"448005","Managerial"
"448018","Education"
"448021","Performing Arts"
"448027","Performing Arts"
"448054","Managerial"
"448061","Food-Production"
"448061","Food-Retail"
"448066","Performing Arts"
"448066","Managerial"
"448090","Food-Production"
"448094","Managerial"
"448098","Clothing"
"448129","Household Goods"
"448155","Managerial"
"448179","Finance"
"448274","Miscellaneous Services"
"448308","Food-Production"
"448308","Food-Production"
"448310","Transport"
"448326","Miscellaneous Services"
"448342","Performing Arts"
"448352","Performing Arts"
"448353","Miscellaneous Services"
"448463","Performing Arts"
"448507","Miscellaneous Services"
"448511","Building"
"448511","Managerial"
"448535","Managerial"
"448636","Managerial"
"448637","Managerial"
"448643","Managerial"
"448644","Unclassified"
"448645","Managerial"
"448650","Performing Arts"
"448655","Managerial"
"448655","Managerial"
"448660","Managerial"
"448660","Managerial"
"448661","Building"
"448661","Managerial"
"448665","Food-Production"
"448679","Managerial"
"448691","Managerial"
"448711","Managerial"
"448720","Managerial"
"448726","Managerial"
"448745","Managerial"
"448769","Metal-Working"
"448769","Managerial"
"448770","Managerial"
"448770","Managerial"
"448770","Managerial"
"448793","Building"
"448794","Food-Production"
"448814","Managerial"
"448816","Managerial"
"448817","Metal-Working"
"448817","Managerial"
"448821","Managerial"
"448843","Managerial"
"448849","Building"
"448862","Finance"
"448862","Education"
"448862","Education"
"448933","Managerial"
"448937","Managerial"
"448966","Managerial"
"448967","Metal-Working"
"448967","Metal-Working"
"448983","Managerial"
"448986","Managerial"
"448991","Building"
"449004","Retail"
"449033","Metal-Working"
"449033","Retail"
"449033","Managerial"
"449034","Managerial"
"449036","Managerial"
"449041","Managerial"
"449046","Managerial"
"449052","Managerial"
"449124","Performing Arts"
"449156","Managerial"
"449208","Clothing"
"449244","Managerial"
"449249","Performing Arts"
"449305","Managerial"
"449338","Managerial"
"449344","Metal-Working"
"449364","Miscellaneous Services"
"449385","Managerial"
"449389","Managerial"
"449399","Managerial"
"449408","Metal-Working"
"449410","Performing Arts"
"449415","Miscellaneous Services"
"449435","Unclassified"
"449441","Managerial"
"449441","Managerial"
"449444","Managerial"
"449457","Unclassified"
"449466","Food-Production"
"449472","Managerial"
"449481","Managerial"
"449495","Managerial"
"449502","Food-Production"
"449513","Managerial"
"449547","Food-Production"
"449551","Managerial"
"449569","Performing Arts"
"449735","Managerial"
"449781","Metal-Working"
"449789","Managerial"
"449818","Managerial"
"449819","Plastic Arts"
"449819","Managerial"
"449821","Managerial"
"449833","Food-Production"
"449838","Education"
"449838","Unclassified"
"449864","Managerial"
"449876","Managerial"
"449912","Metal-Working"
"449912","Unclassified"
"449927","Managerial"
"449927","Managerial"
"449939","Metal-Working"
"449939","Managerial"
"449940","Managerial"
"449941","Managerial"
"449992","Managerial"
"450002","Building"
"450018","Food-Production"
"450028","Managerial"
"450029","Performing Arts"
"450032","Managerial"
"450033","Managerial"
"450038","Metal-Working"
"450044","Metal-Working"
"450048","Food-Retail"
"450048","Food-Retail"
"450048","Clothing"
"450051","Managerial"
"450061","Miscellaneous Services"
"450064","Managerial"
"450101","Managerial"
"450156","Retail"
"450156","Building"
"450188","Transport"
"450188","Transport"
"450198","Managerial"
"450222","Education"
"450297","Managerial"
"450309","Managerial"
"450311","Managerial"
"450316","Metal-Working"
"450324","Performing Arts"
"450448","Managerial"
"450453","Managerial"
"450499","Managerial"
"450565","Managerial"
"450575","Managerial"
"450583","Food-Production"
"450594","Building"
"450605","Building"
"450614","Plastic Arts"
"450627","Managerial"
"450627","Managerial"
"450657","Managerial"
"450666","Managerial"
"450678","Managerial"
"450681","Managerial"
"450692","Performing Arts"
"450695","Performing Arts"
"450708","Managerial"
"450719","Managerial"
"450755","Transport"
"450793","Finance"
"450966","Finance"
"450967","Miscellaneous Services"
"450974","Managerial"
"450976","Performing Arts"
"450979","Managerial"
"450988","Managerial"
"451046","Managerial"
"451122","Managerial"
"451128","Managerial"
"451138","Building"
"451143","Managerial"
"451143","Managerial"
"451192","Performing Arts"
"451200","Education"
"451200","Performing Arts"
"451200","Managerial"
"451201","Managerial"
"451202","Managerial"
"451206","Managerial"
"451208","Managerial"
"451210","Managerial"
"451211","Managerial"
"451212","Managerial"
"451221","Finance"
"451221","Finance"
"451605","Clothing"
"451607","Clothing"
"451732","Managerial"
"451824","Building"
"451862","Retail"
"451925","Miscellaneous Services"
"451933","Clothing"
"451933","Transport"
"451933","Transport"
"451933","Unclassified"
"452066","Managerial"
"452066","Managerial"
"452075","Miscellaneous Services"
"452176","Retail"
"452383","Managerial"
"452390","Education"
"452393","Performing Arts"
"452400","Managerial"
"452400","Performing Arts"
"452401","Performing Arts"
"452406","Performing Arts"
"452406","Performing Arts"
"452408","Miscellaneous Services"
"452435","Managerial"
"452439","Managerial"
"452446","Unclassified"
"452456","Unclassified"
"452468","Finance"
"452515","Retail"
"452518","Miscellaneous Services"
"452521","Managerial"
"452531","Transport"
"452591","Food-Production"
"452601","Finance"
"452604","Water-Management"
"452651","Managerial"
"452651","Managerial"
"452666","Managerial"
"452709","Clothing"
"452753","Managerial"
"452774","Performing Arts"
"452774","Performing Arts"
"452859","Unclassified"
"452868","Managerial"
"452896","Managerial"
"452898","Building"
"452917","Managerial"
"452927","Managerial"
"453015","Unclassified"
"453024","Clothing"
"453033","Metal-Working"
"453033","Metal-Working"
"453072","Unclassified"
"453080","Miscellaneous Services"
"453108","Unclassified"
"453170","Clothing"
"453173","Plastic Arts"
"453196","Miscellaneous Services"
"453287","Managerial"
"453354","Unclassified"
"453390","Building"
"453403","Building"
"453408","Miscellaneous Services"
"453449","Retail"
"453506","Unclassified"
"453506","Unclassified"
"453508","Managerial"
"453529","Building"
"453531","Building"
"453651","Retail"
