"LIST-ID","occups","age: days","age: hours","age: months","age: years","cognomen","gender","name","nomen","occupation","origo","person_id","praenomen","status","supernomen","tribus"
"445469","curator",NA,NA,NA,NA,"Secundinus","male","Decim. Secundinus","Decimius*",NA,NA,"1",NA,NA,NA,NA
"445521","medicus",NA,NA,NA,NA,"Pottinus","male","M. Acilius Pottinus","Acilius","data available",NA,"1","M.",NA,NA,NA
"445521","medicus",NA,NA,NA,NA,"Achillaeus","male","M. Acilius Achillaeus [l]ib.","Acilius",NA,NA,"2","M.","freedmen / freedwomen",NA,NA
"445530","frumentarius",NA,NA,NA,NA,"Annianus","male","P. Aelius Annianus","Aelius",NA,NA,"1","P.","military personnel",NA,NA
"445609","curator",NA,NA,NA,NA,"Dinippus+","male","[Ti. Claudio P.f. Fab. Dinippo]","Claudius+",NA,NA,"1","Ti.+",NA,NA,"Fabia"
"445609","faber",NA,NA,NA,NA,"Dinippus+","male","[Ti. Claudio P.f. Fab. Dinippo]","Claudius+",NA,NA,"1","Ti.+",NA,NA,"Fabia"
"445616","curator",NA,NA,NA,NA,"Carpentanus+","male","Q. Fab[io] Q.f. [---] Carpet[ano]","Fabius+",NA,NA,"1","Q.",NA,NA,NA
"445630","curator",NA,NA,NA,NA,"Sosipatra","female","An[tonia Sosipatra] Sospitis f.","Antonia+",NA,NA,"4","- / -",NA,NA,NA
"445630","curator",NA,NA,NA,NA,"Sedata","female","[A]nto[nia] Sedata","Antonia+",NA,NA,"2",NA,NA,NA,NA
"445630","curator",NA,NA,NA,NA,"Apollodotus","male","[P.] A[eli]i [Apollodoti]","Aelius+",NA,NA,"3","P.+",NA,NA,NA
"445630","curator",NA,NA,NA,NA,"Sospes+","female","[--- A]nt[onius --- S[os]p[es ---]","Antonius+",NA,NA,"1",NA,NA,NA,NA
"445709","curator",NA,NA,NA,NA,"Dinippus","male","Ti. Claudio P.f. Fab. Dinippo","Claudius",NA,NA,"1","Ti.",NA,NA,"Fabia"
"445710","faber",NA,NA,NA,NA,"Dinippus","male","Ti. Claudio P.f. [Fab.] Dinippo","Claudius",NA,NA,"1","Ti.",NA,NA,"Fabia"
"445711","curator",NA,NA,NA,NA,"Dinippus+","male","[Ti.] Claudio P.f. [Fab. Dinippo]","Claudius",NA,NA,"1","Ti.+",NA,NA,"Fabia"
"445711","faber",NA,NA,NA,NA,"Dinippus+","male","[Ti.] Claudio P.f. [Fab. Dinippo]","Claudius",NA,NA,"1","Ti.+",NA,NA,"Fabia"
"445905","faber",NA,NA,NA,NA,"Bassus","male","[Q. Gr]anius Q.f. Bassus","Granius+",NA,NA,"1","Q.+",NA,NA,NA
