Term	Translation_ENG	Translation_LSJ	Category_SHL	HISCO_code	Source	Latin_equivalent	
ἀγαλματοποιός	Statue maker		Stonework	16120	Harris 2002		
ἀγγειουργός	Jar maker		Ceramics	89120	Harris 2002		
ἀγκιστροπώλης	Seller of fish hooks		Tools	45190	Lewis 2020		
αἴπολος	Goatherd		Agriculture, Animal Husbandry	61110	Harris 2002		
ἀκέστρια	Seamstress		Textiles	79120	Harris 2002		
ἀλεκτρυοπώλης	Poulterer	No Translation	Agriculture, Animal Husbandry	62210	Lewis 2020		
ἁλιεύς	Fisherman		Seafaring/Maritime	64110	Harris 2002		
ἀλλαντοπώλης	Sausage Seller		Food Preparation and Retail	45190	Harris 2002		
ἁλουργοπώλης	Dealer in purple dye		Textiles	75130	Lewis 2020		
ἁμαξουργός	Cartwright		Woodwork	73210	Lewis 2020		
ἀμόργινος	Amorgan-technique linen worker		Textiles	75130	Harris 2002		
ἀμπελουργός	Vine Dresser	Vine-Dressing	Agriculture, Animal Husbandry	61110	Harris 2002		
ἀμφορεαφόρος	Amphora-bearer		Transport	98310	Harris 2002		
ἀνδραποδοκάπηλος	Slave dealer		Miscellaneous Retail	49190	Lewis 2020		
ἀνδραποδώνης	Slave dealer		Miscellaneous Retail	49190	Lewis 2020		
ἀνδριαντοποιός	Statue maker		Stonework	16120	Harris 2002		
ἀνθρακεύς	Charcoal maker		Fuel and Raw Materials	71120	Harris 2002		
ἀνθρακοπώλης	Charcoal dealer		Fuel and Raw Materials	71120	Harris 2002		
ἀργυρογνώμων	Assayer of silver		Metalwork	72110	Lewis 2020		
ἀργυροκοπεῖον	Silversmith (shop)		Metalwork	72110	Harris 2002		
ἀργυροκόπος	Coin minter		Metalwork	72110	Harris 2002		
ἁρματοπηγός	Chariot maker		Woodwork	73210	Lewis 2020		
ἀρτοκόπος	Baker		Food Preparation and Retail	53120	Harris 2002		
ἀρτοποιός	Baker		Food Preparation and Retail	53120	Harris 2002	panificus	
ἀρτοπώλης	Bread Seller	Baker	Food Preparation and Retail	51190	Harris 2002		
ἀρτόπωλις	Bread Seller	Baker	Food Preparation and Retail	51190	Harris 2002		
ἀρχιτέκτων	Architect		Construction	2120	Harris 2002		
ἀσκοποιός	Wineskin maker		Leatherwork and Footwear	80110	Harris 2002		
ἀσκοπώλης	Wineskin maker		Leatherwork and Footwear	80110	Harris 2002		
ἀσκοφόρος	Wineskin maker		Leatherwork and Footwear	80110	Harris 2002		
ἀσπιδοπηγός	Shield maker		Armaments	72990	Harris 2002		
αὐλοποιός	Aulos maker		Musical Instruments	81990	Harris 2002		
