hisco_code	hisco_major	hisco_minor	occupations	translations	category	count
30120	30	301	γραμματεύς, γραφεύς	Scribe, Scrivener/copyist	Writing and the Book Trade	2742
14990	14	149	ἱεροποιός, ἱερεύς , χρησμολόγος	Sacrificer, Priest, sacrificer, oracle interpreter	Miscellaneous	2467
6110	61	611	ἰατρός	Doctor	Miscellaneous	414
18190	18	181	ἱππικός, ὁπλομάχος, παιδοτρίβης	Riding trainer, Weapons trainer, Physical trainer	Education and Training	406
2120	21	212	ἀρχιτέκτων	Architect	Construction	376
98110	98	981	κελευστής, κυβερνήτης, ναύτης (+ 3 more)	Rowing master, Helmsman, Sailor (+ 3 more)	Seafaring/Maritime	218
19190	19	191	φιλόσοφος, σοφιστής	Philosopher/sophist	Education and Training	207
17150	17	171	ποιητής, ῥήτωρ	Maker, poet, Orator	Literature and Scholarship	205
13130	13	131	διδάσκαλος, γραμματιστής	Teacher, Elementary school teacher	Education and Training	196
72110	72	721	χαλκεύς, ἀργυροκόπος, χρυσώτής (+ 6 more)	Smith, Coin minter, Gilder (+ 5 more)	Metalwork	179
17320	17	173	μουσικός	Musician	Drama and Entertainment	151
41110	41	411	ἔμπορος, σιτοπώλης, φορτηγός (+ 3 more)	Maritime trader, Grain Dealer, Sesame Seller	Seafaring/Maritime	144
95110	95	951	τέκτων, οἰκοδομος, πλινθόφορος (+ 1 more)	Carpenter/joiner, Builder, Brick carrier (+ 1 more)	Woodwork	137
13920	13	139	γραμματικός, κιθαριστής	Grammarian, Kithara teacher/player	Literature and Scholarship	132
18990	18	189	πυκτεύς, ἱπποδρόμος, πένταθλος (+ 1 more)	Boxer, Charioteer, Pentathlete (+ 1 more)	Sports and Competition	129
95990	95	959	ὑπηρετής	Architect’s assistant	Construction	126
89120	89	891	κεραμεύς, ἀγγειουργός	Potter, Jar maker	Ceramics	116
61110	61	611	γεωργός, βούκολος, ποιμήν (+ 3 more)	Farmer, Cowherd, Shepherd (+ 3 more)	Agriculture, Animal Husbandry	86
17120	17	171	ὑποκριτής	Actor	Drama and Entertainment	66
49190	49	491	κάπηλος, καπηλίς	Retailer	Miscellaneous Retail	42
98510	98	985	ὀνοκόμος, ἡνίοχος	Ass keeper, charioteer	Transport	41
75130	75	751	λιναριος, ἀμόργινος, λινουργός	Linen worker, Amorgan-technique linen worker	Textiles	39
45190	45	451	οἰνοπώλης, σκηνίτης, μυροπώλης (+ 13 more)	Wine Dealer, Stallholder, Perfume seller (+ 11 more)	Food Preparation and Retail	37
53120	53	531	ἀρτοποιός, ἀρτοκόπος, πλακουντάριος	Baker, Break maker	Food Preparation and Retail	35
82120	82	821	λιθουργός, λιθοκόπος	Stonemason, Stonecutter/quarryman	Stonework	33
75140	75	751	γναφεύς, πλυνεύς	Fuller, Clothes washer	Textiles	32
