inscription_id	occupation_original	occupation_stripped	translation	category	hisco_code	matched_forms	form_count
4	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
12	ἀρχιτέκτων	αρχιτεκτων	Architect	Construction	2120	αρχιτεκτονα	1
16	ἀρχιτέκτων	αρχιτεκτων	Architect	Construction	2120	αρχιτεκτονα	1
17	ἀρχιτέκτων	αρχιτεκτων	Architect	Construction	2120	αρχιτεκτονες	1
17	ἱεροποιός	ιεροποιος	Sacrificer	Miscellaneous	14990	ιεροποιοις	1
18	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματευς	1
19	ἀρχιτέκτων	αρχιτεκτων	Architect	Construction	2120	αρχιτεκτονος	1
20	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
22	ἀρχιτέκτων	αρχιτεκτων	Architect	Construction	2120	αρχιτεκτονι	1
22	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματευς	1
24	ἀρχιτέκτων	αρχιτεκτων	Architect	Construction	2120	αρχιτεκτον	1
26	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
29	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα|γραμματει|γραμματευς	3
31	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
32	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
35	ἱεροποιός	ιεροποιος	Sacrificer	Miscellaneous	14990	ιεροποιοι	1
37	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
39	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματευς	1
40	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματευς	1
43	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα|γραμματευς	2
51	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
63	ἱεροποιός	ιεροποιος	Sacrificer	Miscellaneous	14990	ιεροποιοις	1
73	χαλκεύς	χαλκευς	Smith	Metalwork	72110	χαλκει	1
74	χαλκεύς	χαλκευς	Smith	Metalwork	72110	χαλκει	1
82	ἀρχιτέκτων	αρχιτεκτων	Architect	Construction	2120	αρχιτεκτονι	1
82	ἰατρός	ιατρος	Doctor	Miscellaneous	6110	ιατροι	1
263	τέκτων	τεκτων	Carpenter/joiner	Woodwork	95110	τεκτον	1
279	κεραμεύς	κεραμευς	Potter	Ceramics	89120	κεραμευς	1
289	κεραμεύς	κεραμευς	Potter	Ceramics	89120	κεραμευς	1
294	κεραμεύς	κεραμευς	Potter	Ceramics	89120	κεραμευς	1
513	κεραμεύς	κεραμευς	Potter	Ceramics	89120	κεραμευς	1
532	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματευς	1
738	κελευστής	κελευστης	Rowing master	Seafaring/Maritime	98110	κελευστης	1
738	κυβερνήτης	κυβερνητης	Helmsman	Seafaring/Maritime	98110	κυβερνητης	1
738	ναυπηγός	ναυπηγος	Shipwright	Woodwork	73210	ναυπηγος	1
738	ναύτης	ναυτης	Sailor	Seafaring/Maritime	98110	ναυται	1
1067	γναφαλλουφάντης	γναφαλλουφαντης	Flock weaver	Textiles	75990	γναφαλλουφαντης	1
1086	ὑλότομος	υλοτομος	Woodcutter	Fuel and Raw Materials	71120	υλοτομον	1
1118	πυκτεύς	πυκτευς	Boxer	Sports and Competition	18990	πυκτει	1
1200	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1201	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1202	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1203	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1204	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1325	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1326	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1327	ἀγαλματοποιός	αγαλματοποιος	Statue maker	Stonework	16120	αγαλματοποιος	1
1327	ἀρτοποιός	αρτοποιος	Baker	Food Preparation and Retail	53120	αρτοποιος	1
1327	γεωργός	γεωργος	Farmer	Agriculture, Animal Husbandry	61110	γεωργος	1
1327	γναφεύς	γναφευς	Fuller	Textiles	75140	γναφευς	1
1327	οἰκοδομος	οικοδομος	Builder	Construction	95110	οικοδομος	1
1327	ὀνοκόμος	ονοκομος	Ass keeper	Transport	98510	ονοκομος	1
1327	τέκτων	τεκτων	Carpenter/joiner	Woodwork	95110	τεκτων	1
1329	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1330	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1333	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1336	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματευς	1
1337	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1339	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματευς	1
1341	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1344	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1349	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα|γραμματευς	2
1351	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα|γραμματευς	2
1352	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα|γραμματει	2
1353	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1355	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1359	ἀρχιτέκτων	αρχιτεκτων	Architect	Construction	2120	αρχιτεκτονας|αρχιτεκτονες|αρχιτεκτοσι	3
1359	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα|γραμματει	2
1361	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1362	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
1363	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματευς	1
1367	γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα	1
