occupation_original	occupation_stripped	translation	category	hisco_code	count
γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	2714
ἱερεύς 	ιερευς 	Priest, sacrificer	Miscellaneous	14990	1859
ἱεροποιός	ιεροποιος	Sacrificer	Miscellaneous	14990	606
ἰατρός	ιατρος	Doctor	Miscellaneous	6110	414
ἀρχιτέκτων	αρχιτεκτων	Architect	Construction	2120	376
ἱππικός	ιππικος	Riding trainer	Education and Training	18190	191
διδάσκαλος	διδασκαλος	Teacher	Education and Training	13130	168
ποιητής	ποιητης	Maker, poet	Literature and Scholarship	17150	161
ναύκληρος	ναυκληρος	Shipmaster	Seafaring/Maritime	98110	159
μουσικός	μουσικος	Musician	Drama and Entertainment	17320	151
φιλόσοφος	φιλοσοφος	Philosopher/sophist	Education and Training	19190	140
ἔμπορος	εμπορος	Maritime trader	Seafaring/Maritime	41110	129
ὑπηρετής	υπηρετης	Architect’s assistant	Construction	95990	126
παιδοτρίβης	παιδοτριβης	Physical trainer	Education and Training	18190	126
χαλκεύς	χαλκευς	Smith	Metalwork	72110	115
κεραμεύς	κεραμευς	Potter	Ceramics	89120	115
πένταθλος	πενταθλος	Pentathlete	Sports and Competition	18990	92
κιθαριστής	κιθαριστης	Kithara teacher/player	Education and Training	13920	92
ὁπλομάχος	οπλομαχος	Weapons trainer	Education and Training	18190	89
τέκτων	τεκτων	Carpenter/joiner	Woodwork	95110	67
σοφιστής	σοφιστης	Philosopher/sophist	Education and Training	19190	67
ὑποκριτής	υποκριτης	Actor	Drama and Entertainment	17120	66
οἰκοδομος	οικοδομος	Builder	Construction	95110	59
γεωργός	γεωργος	Farmer	Agriculture, Animal Husbandry	61110	55
ῥήτωρ	ρητωρ	Orator	Literature and Scholarship	17150	44
γραμματικός	γραμματικος	Grammarian	Literature and Scholarship	13920	40
ἡνίοχος	ηνιοχος	charioteer	Transport	98510	39
κάπηλος	καπηλος	Retailer	Miscellaneous Retail	49190	36
χρυσόχοος	χρυσοχοος	Goldsmith	Metalwork	72110	34
γναφεύς	γναφευς	Fuller	Textiles	75140	29
λιθουργός	λιθουργος	Stonemason	Stonework	82120	29
γραφεύς	γραφευς	Scrivener/copyist	Writing and the Book Trade	30120	28
γραμματιστής	γραμματιστης	Elementary school teacher	Education and Training	13130	28
ἀρτοκόπος	αρτοκοπος	Baker	Food Preparation and Retail	53120	26
κηπουρός	κηπουρος	Market Gardener	Agriculture, Animal Husbandry	62210	24
ἱπποδρόμος	ιπποδρομος	Charioteer	Sports and Competition	18990	23
βαφεύς	βαφευς	Dyer	Textiles	75120	20
κυβερνήτης	κυβερνητης	Helmsman	Seafaring/Maritime	98110	19
ναύτης	ναυτης	Sailor	Seafaring/Maritime	98110	19
ἀργυροκόπος	αργυροκοπος	Coin minter	Metalwork	72110	19
λινουργός	λινουργος	Linen worker	Textiles	75130	17
ναυπηγός	ναυπηγος	Shipwright	Woodwork	73210	15
ἀγαλματοποιός	αγαλματοποιος	Statue maker	Stonework	16120	15
βούκολος	βουκολος	Cowherd	Agriculture, Animal Husbandry	61110	14
πλουμάριος	πλουμαριος	Feather worker	Textiles	79990	12
καλιγάριος	καλιγαριος	Cobbler	Leatherwork and Footwear	80110	12
λιναριος	λιναριος	Linen worker	Textiles	75130	11
παγκρατιαστής	παγκρατιαστης	Pancratiast	Sports and Competition	18990	11
ἀμόργινος	αμοργινος	Amorgan-technique linen worker	Textiles	75130	11
γεωμέτρης	γεωμετρης	Surveyor	Construction	6145	10
κελευστής	κελευστης	Rowing master	Seafaring/Maritime	98110	9
μυρεψός	μυρεψος	Perfume boiler	Perfumes, Aromatics, and Nostrums	6390	9
ἁλιεύς	αλιευς	Fisherman	Seafaring/Maritime	64110	9
θαυματοποιός	θαυματοποιος	street fair entertainer/ puppeteer	Drama and Entertainment	17990	8
λιθαγωγός	λιθαγωγος	Stone haulier	Transport	98310	8
λανάριος	λαναριος	Wool worker	Textiles	76990	8
πρίστης	πριστης	Sawyer	Woodwork	73990	7
περιηγητής	περιηγητης	Traveler	Exploration and Travel	43190	7
ψηφοθέτης	ψηφοθετης	Mosaicer, maker of mosaic	Stonework	16190	7
ποιμήν	ποιμην	Shepherd	Agriculture, Animal Husbandry	61110	7
ταλασιουργός	ταλασιουργος	Woolworker	Textiles	76990	7
πορθμεύς	πορθμευς	Ferryman	Seafaring/Maritime	98110	6
πλινθόφορος	πλινθοφορος	Brick carrier	Construction	95110	6
σιτοπώλης	σιτοπωλης	Grain Dealer	Food Preparation and Retail	41110	6
πρῳρεύς	πρωρευς	Quartermaster	Seafaring/Maritime	98110	6
καπηλίς	καπηλις	Retailer	Miscellaneous Retail	49190	6
ἐριοπώλης	εριοπωλης	Wool seller	Textiles	45190	6
ἀνδριαντοποιός	ανδριαντοποιος	Statue maker	Stonework	16120	6
φορτηγός	φορτηγος	Maritime trader	Seafaring/Maritime	41110	6
ἀμπελουργός	αμπελουργος	Vine Dresser	Agriculture, Animal Husbandry	61110	6
ἀρτοποιός	αρτοποιος	Baker	Food Preparation and Retail	53120	5
καψάριος	καψαριος	Maker of small bags	Leatherwork and Footwear	80110	5
ῥάπτης	ραπτης	Clothes mender	Textiles	79120	5
βρακάριος	βρακαριος	Maker of trousers	Textiles	79120	5
σκαφεύς	σκαφευς	Digger	Agriculture, Animal Husbandry	62990	5
λεπτουργός	λεπτουργος	Joiner, wood worker	Construction	95110	5
ὑποδιδάσκαλος	υποδιδασκαλος	Teacher’s assistant	Education and Training	13990	5
σκυτότομος	σκυτοτομος	Leather worker/shoemaker	Leatherwork and Footwear	80110	5
κοπιάτης	κοπιατης	Grave-digger, sexton	Miscellaneous	54990	5
μυροπώλης	μυροπωλης	Perfume seller	Perfumes, Aromatics, and Nostrums	45190	4
ἀσκοποιός	ασκοποιος	Wineskin maker	Leatherwork and Footwear	80110	4
πλακουντάριος	πλακουνταριος	Break maker	Food Preparation and Retail	53120	4
λιθοκόπος	λιθοκοπος	Stonecutter/quarryman	Stonework	82120	4
γναφαλλουφάντης	γναφαλλουφαντης	Flock weaver	Textiles	75990	3
πυκτεύς	πυκτευς	Boxer	Sports and Competition	18990	3
στυππειοπλόκος	στυππειοπλοκος	Ropemaker	Textiles	75990	3
χρυσώτής	χρυσωτης	Gilder	Metalwork	72110	3
οἰνοπώλης	οινοπωλης	Wine Dealer	Food Preparation and Retail	45190	3
πλυνεύς	πλυνευς	Clothes washer	Textiles	75140	3
ἐργαστηριάρχης	εργαστηριαρχης	Metal-worker	Metalwork	72110	3
μυρόπωλις	μυροπωλις	Perfume seller	Perfumes, Aromatics, and Nostrums	45190	3
σκευοποιός	σκευοποιος	Maker of drama equipment	Drama and Entertainment	17990	3
ζευγότροφος	ζευγοτροφος	Teamster	Agriculture, Animal Husbandry	61110	3
ἀρτοπώλης	αρτοπωλης	Bread Seller	Food Preparation and Retail	51190	3
ἀρτόπωλις	αρτοπωλις	Bread Seller	Food Preparation and Retail	51190	3
ὑφάντης	υφαντης	Weaver	Textiles	75110	3
κροκοπώλης	κροκοπωλης	Saffron Seller	Food Preparation and Retail	45190	3
ὀνοκόμος	ονοκομος	Ass keeper	Transport	98510	2
βαρβαρικάριος	βαρβαρικαριος	Gilder	Textiles	72110	2
σκηνίτης	σκηνιτης	Stallholder	Miscellaneous Retail	45190	2
ζυγοποιός	ζυγοποιος	Yoke maker	Woodwork	73990	2
θεατής	θεατης	Spectator	Drama and Entertainment	17990	2
μανθάνων	μανθανων	Student	Literature and Scholarship	13990	2
χρησμολόγος	χρησμολογος	oracle interpreter	Education and Training	14990	2
ταριχοπώλης	ταριχοπωλης	Salt Fish Dealer	Food Preparation and Retail	45190	2
ὀσπριοπώλης	οσπριοπωλης	Pulse Seller	Food Preparation and Retail	45190	2
ἰχθυοπώλης	ιχθυοπωλης	Fishmonger	Food Preparation and Retail	45190	2
στυππειοπώλης	στυππειοπωλης	Rope dealer	Cordage and Basketry	45190	2
μυλωθρός	μυλωθρος	Miller	Food Preparation and Retail	54120	2
περσικοποιός	περσικοποιος	Maker of slippers	Leatherwork and Footwear	80110	2
πιλοποιός	πιλοποιος	Hatter/felter	Textiles	79120	2
ἱματιοπώλης	ιματιοπωλης	Clothes dealer	Textiles	45190	2
ἱματιόπωλις	ιματιοπωλις	Clothes dealer	Textiles	45190	2
ὑλότομος	υλοτομος	Woodcutter	Fuel and Raw Materials	71120	1
διφθεράριος	διφθεραριος	Parchment-maker	Writing and the Book Trade	76990	1
ἀκονητής	ακονητης	Polisher, furbisher, grinder	Woodwork	73990	1
δειπνοποιός	δειπνοποιος	Caterer	Food Preparation and Retail	51190	1
ἀκέστρια	ακεστρια	Seamstress	Textiles	79120	1
μουσιάριος	μουσιαριος	Mosaic worker	Stonework	16190	1
κοπρολόγος	κοπρολογος	Dung collector	Transport	98310	1
αἴπολος	αιπολος	Goatherd	Agriculture, Animal Husbandry	61110	1
ξυλουργός	ξυλουργος	Turner	Woodwork	73990	1
κρανοποιός	κρανοποιος	Helmet maker	Armaments	72990	1
μολυβδοκόπος	μολυβδοκοπος	Lead cutter	Metalwork	72110	1
ὀρνιθοπώλης	ορνιθοπωλης	Bird Dealer	Agriculture, Animal Husbandry	62210	1
κηροματίτης	κηροματιτης	Masseur, trainer	Miscellaneous	53990	1
κρεοπώλης	κρεοπωλης	Butcher	Food Preparation and Retail	62210	1
λογόγραφος	λογογραφος	Speech-writer	Writing and the Book Trade	15120	1
ἰτριοπώλης	ιτριοπωλης	Cake Seller	Food Preparation and Retail	51190	1
μονιτάριος	μονιταριος	Moneyer	Metalwork	72110	1
δορυξός	δορυξος	Spear maker	Armaments	72990	1
κρομμυοπώλης	κρομμυοπωλης	Onion Seller	Food Preparation and Retail	45190	1
πριονοποιός	πριονοποιος	Saw maker	Tools	83990	1
κριθοπώλης	κριθοπωλης	Grain Dealer	Food Preparation and Retail	41110	1
τυροπώλης	τυροπωλης	Cheesemonger	Food Preparation and Retail	45190	1
χαλκοπώλης	χαλκοπωλης	Bronze dealer	Metalwork	45190	1
ὀβελισκοποιός	οβελισκοποιος	Skewer maker	Metalwork	83120	1
θωρακοποιός	θωρακοποιος	Cuirass maker	Armaments	72990	1
σησαμοπώλης	σησαμοπωλης	Sesame Seller	Food Preparation and Retail	41110	1
σησαμοπώλις	σησαμοπωλις	Sesame Seller	Food Preparation and Retail	41110	1
ἀγγειουργός	αγγειουργος	Jar maker	Ceramics	89120	1
